"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"2672137";"Biatain pansement Soft Hold 5 x (15 x 15 cm)";"http://www.cbip.be/fr/contents/jump?amppid=106542";"http://www.cbip.be/fr/contents/jump?amppid=106542&view=pvt"
"3641073";"Rosuvastatine Viatris compr. pellic. 28 x 40 mg";"http://www.cbip.be/fr/contents/jump?amppid=154351";"http://www.cbip.be/fr/contents/jump?amppid=154351&view=pvt"
"1777119";"Simvastatine Viatris compr. pellic. 98 x 40 mg";"http://www.cbip.be/fr/contents/jump?amppid=30734";"http://www.cbip.be/fr/contents/jump?amppid=30734&view=pvt"
"0614826";"Tracrium sol. inj./perf. i.v. [amp.] 5 x 50 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=9837";"http://www.cbip.be/fr/contents/jump?amppid=9837&view=pvt"
"2672129";"Biatain pansement Soft Hold 5 x (10 x 20 cm)";"http://www.cbip.be/fr/contents/jump?amppid=106534";"http://www.cbip.be/fr/contents/jump?amppid=106534&view=pvt"
"1185610";"AmBisome disp. perf. à diluer (pdr) i.v. Liposomale [flac.] 10 x 50 mg";"http://www.cbip.be/fr/contents/jump?amppid=15545";"http://www.cbip.be/fr/contents/jump?amppid=15545&view=pvt"
"0852046";"Somatostatine-Eumedica sol. perf. (pdr + solv.) i.v. [2x amp.] 1 x 3 mg";"http://www.cbip.be/fr/contents/jump?amppid=12054";"http://www.cbip.be/fr/contents/jump?amppid=12054&view=pvt"
"0674671";"Tracrium sol. inj./perf. i.v. [amp.] 10 x 25 mg / 2,5 ml";"http://www.cbip.be/fr/contents/jump?amppid=10363";"http://www.cbip.be/fr/contents/jump?amppid=10363&view=pvt"
"2480283";"Curasorb mèche 5 x (2 x 30 cm)";"http://www.cbip.be/fr/contents/jump?amppid=106211";"http://www.cbip.be/fr/contents/jump?amppid=106211&view=pvt"
"0855031";"Robinul sol. inj. i.m./i.v. [amp.] 5 x 0,2 mg / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=12104";"http://www.cbip.be/fr/contents/jump?amppid=12104&view=pvt"
"1113323";"Robinul-Neostigmine 0,5/2,5 sol. inj. i.v. [amp.] 10 x";"http://www.cbip.be/fr/contents/jump?amppid=14357";"http://www.cbip.be/fr/contents/jump?amppid=14357&view=pvt"
"1295351";"Lioresal sol. inj./perf. i.théc. [amp.] 1 x 0,05 mg / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=17467";"http://www.cbip.be/fr/contents/jump?amppid=17467&view=pvt"
"1114412";"Mivacron sol. inj./perf. i.v. [amp.] 5 x 10 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=14415";"http://www.cbip.be/fr/contents/jump?amppid=14415&view=pvt"
"0895730";"Uromitexan sol. inj./perf. i.v. [flac.] 15 x 400 mg / 4 ml";"http://www.cbip.be/fr/contents/jump?amppid=12955";"http://www.cbip.be/fr/contents/jump?amppid=12955&view=pvt"
"0892273";"Prostin VR sol. inj./perf. i.v./i.artér. [amp.] 1 x 0,5 mg / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=12799";"http://www.cbip.be/fr/contents/jump?amppid=12799&view=pvt"
"1114404";"Mivacron sol. inj./perf. i.v. [amp.] 5 x 20 mg / 10 ml";"http://www.cbip.be/fr/contents/jump?amppid=14407";"http://www.cbip.be/fr/contents/jump?amppid=14407&view=pvt"
"1085877";"Foscavir 24 mg / 1 ml sol. perf. à diluer/sol. perf. i.v. [flac.] 1 x 6 g / 250 ml";"http://www.cbip.be/fr/contents/jump?amppid=13979";"http://www.cbip.be/fr/contents/jump?amppid=13979&view=pvt"
"2480325";"Curasorb pansement Plus 10 x (10 x 14 cm)";"http://www.cbip.be/fr/contents/jump?amppid=106252";"http://www.cbip.be/fr/contents/jump?amppid=106252&view=pvt"
"1777127";"Simvastatine Viatris compr. pellic. (séc.) 84 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=30742";"http://www.cbip.be/fr/contents/jump?amppid=30742&view=pvt"
"2363596";"Valproate Viatris sol. inj./perf. i.v. [amp.] 5 x 300 mg / 3 ml";"http://www.cbip.be/fr/contents/jump?amppid=41038";"http://www.cbip.be/fr/contents/jump?amppid=41038&view=pvt"
"1226125";"Eposin sol. perf. à diluer i.v. [flac.] 1 x 100 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=16097";"http://www.cbip.be/fr/contents/jump?amppid=16097&view=pvt"
"1232198";"Eposin sol. perf. à diluer i.v. [flac.] 1 x 500 mg / 25 ml";"http://www.cbip.be/fr/contents/jump?amppid=16121";"http://www.cbip.be/fr/contents/jump?amppid=16121&view=pvt"
"1350677";"Carboflex pansement 5 x (15 x 20 cm)";"http://www.cbip.be/fr/contents/jump?amppid=103226";"http://www.cbip.be/fr/contents/jump?amppid=103226&view=pvt"
"1544477";"Suprasorb A mèche 5 x (2 x 30 cm)";"http://www.cbip.be/fr/contents/jump?amppid=103739";"http://www.cbip.be/fr/contents/jump?amppid=103739&view=pvt"
"1629559";"Hydrocoll pansement 5 x (15 x 15 cm)";"http://www.cbip.be/fr/contents/jump?amppid=104208";"http://www.cbip.be/fr/contents/jump?amppid=104208&view=pvt"
"2116572";"Duoderm pansement Extra mince 10 x (9 x 25 cm)";"http://www.cbip.be/fr/contents/jump?amppid=104646";"http://www.cbip.be/fr/contents/jump?amppid=104646&view=pvt"
"2304863";"Tegaderm Alginate pansement 10 x (10 x 10 cm)";"http://www.cbip.be/fr/contents/jump?amppid=105056";"http://www.cbip.be/fr/contents/jump?amppid=105056&view=pvt"
"3641040";"Rosuvastatine Viatris compr. pellic. 98 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=154328";"http://www.cbip.be/fr/contents/jump?amppid=154328&view=pvt"
"3641065";"Rosuvastatine Viatris compr. pellic. 98 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=154344";"http://www.cbip.be/fr/contents/jump?amppid=154344&view=pvt"
"1446764";"Vincrisin sol. inj./perf. i.v. [flac.] 1 x 1 mg / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=21238";"http://www.cbip.be/fr/contents/jump?amppid=21238&view=pvt"
"2970754";"Spycra Protect pansement 3 x (18 x 30 cm)";"http://www.cbip.be/fr/contents/jump?amppid=133199";"http://www.cbip.be/fr/contents/jump?amppid=133199&view=pvt"
"2970762";"Spycra Protect pansement 1 x (5 x 150 cm)";"http://www.cbip.be/fr/contents/jump?amppid=133207";"http://www.cbip.be/fr/contents/jump?amppid=133207&view=pvt"
"2357051";"Concentré d’Antithrombine III Baxalta sol. inj./perf. (pdr + solv.) i.v. [2x flac.] 1 x 500 UI";"http://www.cbip.be/fr/contents/jump?amppid=40915";"http://www.cbip.be/fr/contents/jump?amppid=40915&view=pvt"
"2251767";"Curosurf susp. instill. endotrach. 1 x 120 mg / 1,5 ml";"http://www.cbip.be/fr/contents/jump?amppid=37853";"http://www.cbip.be/fr/contents/jump?amppid=37853&view=pvt"
"2511830";"Motilium (Impexeco) compr. pellic. 30 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=45815";"http://www.cbip.be/fr/contents/jump?amppid=45815&view=pvt"
"2562387";"Esmeron sol. inj./perf. i.v. [amp.] 10 x 50 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=47530";"http://www.cbip.be/fr/contents/jump?amppid=47530&view=pvt"
"3391232";"Dafalgan (Impexeco) compr. pellic. (séc.) Forte 16 x 1 g";"http://www.cbip.be/fr/contents/jump?amppid=174029";"http://www.cbip.be/fr/contents/jump?amppid=174029&view=pvt"
"3641081";"Rosuvastatine Viatris compr. pellic. 98 x 40 mg";"http://www.cbip.be/fr/contents/jump?amppid=154369";"http://www.cbip.be/fr/contents/jump?amppid=154369&view=pvt"
"3677853";"Rosuvastatine Viatris compr. pellic. 98 x 5 mg";"http://www.cbip.be/fr/contents/jump?amppid=156430";"http://www.cbip.be/fr/contents/jump?amppid=156430&view=pvt"
"2618478";"Zanidip (PI-Pharma) compr. pellic. (séc.) 56 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=50773";"http://www.cbip.be/fr/contents/jump?amppid=50773&view=pvt"
"2680189";"Broncho-Vaxom (PI-Pharma) gél. Adulte 30 x";"http://www.cbip.be/fr/contents/jump?amppid=53918";"http://www.cbip.be/fr/contents/jump?amppid=53918&view=pvt"
"2675775";"Lisinopril EG (PI-Pharma) compr. (séc. en 4) 98 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=62497";"http://www.cbip.be/fr/contents/jump?amppid=62497&view=pvt"
"2707446";"Casodex (PI-Pharma) compr. pellic. 28 x 150 mg";"http://www.cbip.be/fr/contents/jump?amppid=166132";"http://www.cbip.be/fr/contents/jump?amppid=166132&view=pvt"
"2604759";"Avodart (PI-Pharma) caps. molle 30 x 0,5 mg";"http://www.cbip.be/fr/contents/jump?amppid=50203";"http://www.cbip.be/fr/contents/jump?amppid=50203&view=pvt"
"2828663";"Femoston (Impexeco) 1/5 compr. pellic. Conti 3 x 28";"http://www.cbip.be/fr/contents/jump?amppid=58453";"http://www.cbip.be/fr/contents/jump?amppid=58453&view=pvt"
"0065979";"Penicilline sol. inj./perf. (pdr) i.m./i.v./i.artic./i.burs. [flac.] 100 x 5 000 000 UI";"http://www.cbip.be/fr/contents/jump?amppid=56770";"http://www.cbip.be/fr/contents/jump?amppid=56770&view=pvt"
"3872165";"Solifenacine Viatris compr. pellic. 90 x 5 mg";"http://www.cbip.be/fr/contents/jump?amppid=163683";"http://www.cbip.be/fr/contents/jump?amppid=163683&view=pvt"
"3872157";"Solifenacine Viatris compr. pellic. 30 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=163691";"http://www.cbip.be/fr/contents/jump?amppid=163691&view=pvt"
"3210309";"Lomatuell Pro pansement 50 x (10 x 10 cm)";"http://www.cbip.be/fr/contents/jump?amppid=131870";"http://www.cbip.be/fr/contents/jump?amppid=131870&view=pvt"
"2678605";"Coversyl (PI-Pharma) compr. pellic. 60 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=62505";"http://www.cbip.be/fr/contents/jump?amppid=62505&view=pvt"
"2638591";"Voltaren Emulgel (PI-Pharma) 1 % gel transderm. local 50 g 10 mg / 1 g";"http://www.cbip.be/fr/contents/jump?amppid=51474";"http://www.cbip.be/fr/contents/jump?amppid=51474&view=pvt"
"2479970";"Copa pansement Plus 10 x (10 x 10 cm)";"http://www.cbip.be/fr/contents/jump?amppid=105981";"http://www.cbip.be/fr/contents/jump?amppid=105981&view=pvt"
"2764876";"Propofol B. Braun 1 % émuls. inj./perf. i.v. [amp.] 5 x 200 mg / 20 ml";"http://www.cbip.be/fr/contents/jump?amppid=67264";"http://www.cbip.be/fr/contents/jump?amppid=67264&view=pvt"
"2926590";"Amlodipin Sandoz (Impexeco) compr. (séc.) Besilaat 100 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=65391";"http://www.cbip.be/fr/contents/jump?amppid=65391&view=pvt"
"3978335";"Solifenacine Viatris compr. pellic. 200 x 5 mg";"http://www.cbip.be/fr/contents/jump?amppid=168237";"http://www.cbip.be/fr/contents/jump?amppid=168237&view=pvt"
"3078227";"Tisseel S/D colle (sol.) [ser. préremplie] 2 ml (1 ml+1 ml)";"http://www.cbip.be/fr/contents/jump?amppid=107888";"http://www.cbip.be/fr/contents/jump?amppid=107888&view=pvt"
"3078235";"Tisseel S/D colle (sol.) [ser. préremplie] 4 ml (2 ml+2 ml)";"http://www.cbip.be/fr/contents/jump?amppid=107896";"http://www.cbip.be/fr/contents/jump?amppid=107896&view=pvt"
"2904613";"Forlax (PI-Pharma) sol. (pdr, sachet) 20 x 10 g";"http://www.cbip.be/fr/contents/jump?amppid=63297";"http://www.cbip.be/fr/contents/jump?amppid=63297&view=pvt"
"3978327";"Solifenacine Viatris compr. pellic. 200 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=168245";"http://www.cbip.be/fr/contents/jump?amppid=168245&view=pvt"
"4635991";"Sandostatine (Abacus) susp. inj. lib. prol. (pdr + solv.) i.m. L.A.R. [flac. + ser. préremplie] 1 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=193284";"http://www.cbip.be/fr/contents/jump?amppid=193284&view=pvt"
"4636007";"Sandostatine (Abacus) susp. inj. lib. prol. (pdr + solv.) i.m. L.A.R. [flac. + ser. préremplie] 1 x 30 mg";"http://www.cbip.be/fr/contents/jump?amppid=193292";"http://www.cbip.be/fr/contents/jump?amppid=193292&view=pvt"
"3364072";"Simvastatin Sandoz (Impexeco) compr. pellic. (séc.) 100 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=133470";"http://www.cbip.be/fr/contents/jump?amppid=133470&view=pvt"
"0681254";"Duoderm E pansement 3 x (15 x 15 cm)";"http://www.cbip.be/fr/contents/jump?amppid=102905";"http://www.cbip.be/fr/contents/jump?amppid=102905&view=pvt"
"0104950";"Cafergot 1/100 compr. (séc.) 20 x";"http://www.cbip.be/fr/contents/jump?amppid=4697";"http://www.cbip.be/fr/contents/jump?amppid=4697&view=pvt"
"1516376";"Comfeel Plus pansement Contour 5 x (6 x 8 cm)";"http://www.cbip.be/fr/contents/jump?amppid=129437";"http://www.cbip.be/fr/contents/jump?amppid=129437&view=pvt"
"3420940";"Montelukast Sandoz (Impexeco) compr. pellic. 98 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=133553";"http://www.cbip.be/fr/contents/jump?amppid=133553&view=pvt"
"0309054";"Duoderm E pansement Border 5 x (14 x 14 cm)";"http://www.cbip.be/fr/contents/jump?amppid=102715";"http://www.cbip.be/fr/contents/jump?amppid=102715&view=pvt"
"2159986";"Torasemide Sandoz compr. (séc. en 4) 30 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=34777";"http://www.cbip.be/fr/contents/jump?amppid=34777&view=pvt"
"2837789";"Zolpidem Sandoz (Impexeco) compr. pellic. (séc.) 30 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=133785";"http://www.cbip.be/fr/contents/jump?amppid=133785&view=pvt"
"0868273";"KCl B. Braun 14,9 % sol. perf. à diluer i.v. [amp., Mini-Plasco] 20 x 2,98 g / 20 ml";"http://www.cbip.be/fr/contents/jump?amppid=141135";"http://www.cbip.be/fr/contents/jump?amppid=141135&view=pvt"
"3373594";"Omeprazol Sandoz (PI-Pharma) gél. gastro-résist. 98 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=133017";"http://www.cbip.be/fr/contents/jump?amppid=133017&view=pvt"
"3326055";"Tamsulosine Teva (Impexeco) gél. lib. modif. 30 x 0,4 mg";"http://www.cbip.be/fr/contents/jump?amppid=133595";"http://www.cbip.be/fr/contents/jump?amppid=133595&view=pvt"
"3188927";"Steovit (Impexeco) 1000/800 compr. à croquer Forte Citron 90 x";"http://www.cbip.be/fr/contents/jump?amppid=133678";"http://www.cbip.be/fr/contents/jump?amppid=133678&view=pvt"
"2572691";"Topiramate EG compr. pellic. (séc. en 4) 100 x 25 mg";"http://www.cbip.be/fr/contents/jump?amppid=48330";"http://www.cbip.be/fr/contents/jump?amppid=48330&view=pvt"
"1078450";"Kaltostat pansement 10 x (5 x 5 cm)";"http://www.cbip.be/fr/contents/jump?amppid=102996";"http://www.cbip.be/fr/contents/jump?amppid=102996&view=pvt"
"3439155";"Paroxetine Sandoz (Impexeco) compr. pellic. (séc.) 100 x 20 mg";"http://www.cbip.be/fr/contents/jump?amppid=151084";"http://www.cbip.be/fr/contents/jump?amppid=151084&view=pvt"
"2110948";"Onguent Camphré pommade 20 g 200 mg / 1 g";"http://www.cbip.be/fr/contents/jump?amppid=58610";"http://www.cbip.be/fr/contents/jump?amppid=58610&view=pvt"
"3403771";"Kliniderm Foam Silicone pansement Border Lite 5 x (4 x 5 cm)";"http://www.cbip.be/fr/contents/jump?amppid=163170";"http://www.cbip.be/fr/contents/jump?amppid=163170&view=pvt"
"3403318";"Kliniderm Foam Silicone pansement 5 x (10 x 10 cm)";"http://www.cbip.be/fr/contents/jump?amppid=163063";"http://www.cbip.be/fr/contents/jump?amppid=163063&view=pvt"
"3689957";"Pantoprazol Sandoz (Impexeco) compr. gastro-résist. 56 x 40 mg";"http://www.cbip.be/fr/contents/jump?amppid=165563";"http://www.cbip.be/fr/contents/jump?amppid=165563&view=pvt"
"3666005";"Monuril (Impexeco) sol. (gran., sachet) 1 x 3 g";"http://www.cbip.be/fr/contents/jump?amppid=165753";"http://www.cbip.be/fr/contents/jump?amppid=165753&view=pvt"
"4178901";"Abilify (Abacus) compr. 98 x 15 mg";"http://www.cbip.be/fr/contents/jump?amppid=171942";"http://www.cbip.be/fr/contents/jump?amppid=171942&view=pvt"
"3716198";"Sertraline EG (PI-Pharma) compr. pellic. (séc.) 60 x 50 mg";"http://www.cbip.be/fr/contents/jump?amppid=168914";"http://www.cbip.be/fr/contents/jump?amppid=168914&view=pvt"
"2683167";"Ticlid (Impexeco) compr. pellic. 60 x 250 mg";"http://www.cbip.be/fr/contents/jump?amppid=180844";"http://www.cbip.be/fr/contents/jump?amppid=180844&view=pvt"
"4522744";"Abevmy 25 mg / 1 ml sol. perf. à diluer i.v. [flac.] 1 x 100 mg / 4 ml";"http://www.cbip.be/fr/contents/jump?amppid=189381";"http://www.cbip.be/fr/contents/jump?amppid=189381&view=pvt"
"3326600";"Torental (PI-Pharma) compr. lib. prol. 60 x 400 mg";"http://www.cbip.be/fr/contents/jump?amppid=177410";"http://www.cbip.be/fr/contents/jump?amppid=177410&view=pvt"
"3194453";"Mirtazapine EG (PI-Pharma) compr. pellic. (séc.) 100 x 15 mg";"http://www.cbip.be/fr/contents/jump?amppid=179465";"http://www.cbip.be/fr/contents/jump?amppid=179465&view=pvt"
"3148509";"Livial (PI-Pharma) compr. 3 x 28 x 2,5 mg";"http://www.cbip.be/fr/contents/jump?amppid=175380";"http://www.cbip.be/fr/contents/jump?amppid=175380&view=pvt"
"4522751";"Abevmy 25 mg / 1 ml sol. perf. à diluer i.v. [flac.] 1 x 400 mg / 16 ml";"http://www.cbip.be/fr/contents/jump?amppid=189266";"http://www.cbip.be/fr/contents/jump?amppid=189266&view=pvt"
"4753158";"Abilify (Abacus) compr. 28 x 30 mg";"http://www.cbip.be/fr/contents/jump?amppid=193052";"http://www.cbip.be/fr/contents/jump?amppid=193052&view=pvt"
"2480309";"Curasorb pansement 10 x (10 x 10 cm)";"http://www.cbip.be/fr/contents/jump?amppid=106237";"http://www.cbip.be/fr/contents/jump?amppid=106237&view=pvt"
"3117496";"Montelukast Teva (Impexeco) compr. pellic. 98 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=182162";"http://www.cbip.be/fr/contents/jump?amppid=182162&view=pvt"
"4165726";"Abilify (Abacus) compr. 98 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=171660";"http://www.cbip.be/fr/contents/jump?amppid=171660&view=pvt"
"3662772";"Seroquel (PI-Pharma) compr. lib. prol. XR 30 x 50 mg";"http://www.cbip.be/fr/contents/jump?amppid=181933";"http://www.cbip.be/fr/contents/jump?amppid=181933&view=pvt"
"2567576";"Abilify sol. inj. i.m. [flac.] 1 x 9,75 mg / 1,3 ml";"http://www.cbip.be/fr/contents/jump?amppid=47944";"http://www.cbip.be/fr/contents/jump?amppid=47944&view=pvt"
"3154887";"Abilify susp. inj. lib. prol. (pdr + solv.) i.m. Maintena [2x flac.] 1 x 400 mg";"http://www.cbip.be/fr/contents/jump?amppid=109421";"http://www.cbip.be/fr/contents/jump?amppid=109421&view=pvt"
"2256634";"Mepilex pansement Border Lite 5 x (7,5 x 7,5 cm)";"http://www.cbip.be/fr/contents/jump?amppid=104919";"http://www.cbip.be/fr/contents/jump?amppid=104919&view=pvt"
"3403375";"Kliniderm Foam Silicone pansement Border 5 x (12,5 x 12,5 cm)";"http://www.cbip.be/fr/contents/jump?amppid=163121";"http://www.cbip.be/fr/contents/jump?amppid=163121&view=pvt"
"4201737";"Abilify (Orifarm) compr. 28 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=175992";"http://www.cbip.be/fr/contents/jump?amppid=175992&view=pvt"
"4323465";"Atropine Sulfate Accord 0,1 mg / 1 ml sol. inj. i.m./i.v. [ser. préremplie] 1 x 0,5 mg / 5 ml";"http://www.cbip.be/fr/contents/jump?amppid=186619";"http://www.cbip.be/fr/contents/jump?amppid=186619&view=pvt"
"3945557";"Suprasorb H pansement 10 x (10 x 10 cm)";"http://www.cbip.be/fr/contents/jump?amppid=105239";"http://www.cbip.be/fr/contents/jump?amppid=105239&view=pvt"
"4201745";"Abilify (Orifarm) compr. 98 x 10 mg";"http://www.cbip.be/fr/contents/jump?amppid=176008";"http://www.cbip.be/fr/contents/jump?amppid=176008&view=pvt"
"4272100";"Abilify (Orifarm) compr. 98 x 15 mg";"http://www.cbip.be/fr/contents/jump?amppid=176016";"http://www.cbip.be/fr/contents/jump?amppid=176016&view=pvt"
"3403334";"Kliniderm Foam Silicone pansement 5 x (10 x 20 cm)";"http://www.cbip.be/fr/contents/jump?amppid=163071";"http://www.cbip.be/fr/contents/jump?amppid=163071&view=pvt"
"2868933";"Xanax (Impexeco) compr. lib. prol. Retard 30 x 0,5 mg";"http://www.cbip.be/fr/contents/jump?amppid=65003";"http://www.cbip.be/fr/contents/jump?amppid=65003&view=pvt"
"3534948";"Abilify (PI-Pharma) compr. 28 x 15 mg";"http://www.cbip.be/fr/contents/jump?amppid=166009";"http://www.cbip.be/fr/contents/jump?amppid=166009&view=pvt"
"3060001";"Abilify sirop sol. 150 ml 1 mg / 1 ml";"http://www.cbip.be/fr/contents/jump?amppid=74625";"http://www.cbip.be/fr/contents/jump?amppid=74625&view=pvt"
"3750015";"Fucicort (Impexeco) 20/1 crème Lipid 30 g";"http://www.cbip.be/fr/contents/jump?amppid=186650";"http://www.cbip.be/fr/contents/jump?amppid=186650&view=pvt"
