"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"0012401";"SAACA";"0016246";"B";"37895-752";"O";"Omnipaque 240 mg/1 ml sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.] 1x 10,36g/20ml";;"00090";;1;"x";;;;;0.0000;;;;"R";"b";11.0900;;;;;"sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.]";194.0000;1.9400;1.1600;"17780";"iohexol injection/instillation 518 mg / 1 ml";false;false;;true;false;false;true;false
"0039123";"MAAAA";"0012583";"B";"9100-281";"O";"Endoxan sol. inj./perf. (pdr) i.m./i.v. [flac.] 5x 500mg";;"00042";;5;"x";;;;;0.0000;;;;"R";"a";37.1800;;"i.m.: exceptionnellement, voir RCP";;;"sol. inj./perf. (pdr) i.m./i.v. [flac.]";0.0000;0.0000;0.0000;"7849";"cyclophosphamide injection/perfusion 500 mg [no switch: onco]";false;false;;true;false;false;true;false
"0668624";"PHA";"0015552";;"17335-125";"O";"Miostat sol. inj. i.ocul. [flac.] 12x 0,15mg/1,5ml";;"00071";;12;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj. i.ocul. [flac.]";0.0000;0.0000;0.0000;"5132";"carbachol injection 0,15 mg / 1,5 ml";false;false;;false;false;false;true;false
"3237880";"HBBA";"0006452";;"2220-299";"O";"Aspirine compr. enr. Fasttabs 40x 500mg";;"00560";;40;"x";;;;;0.0000;;;;;;11.9500;;;;;"compr. enr. Fasttabs";29.8800;11.9500;11.9500;"398";"acide acétylsalicylique oral 500 mg";false;false;;false;false;false;true;false
"0085050";"FDAA";"0005777";"B";"25668-1248";"O";"Syntocinon sol. inj./perf. i.m./i.v. [amp.] 5x 10UI/1ml";;"00145";;5;"x";;;;;0.0000;;;;"R";"b";17.3400;;;;;"sol. inj./perf. i.m./i.v. [amp.]";81.0000;4.0500;2.4300;"24380";"oxytocine injection/perfusion 10 UI / 1 ml";false;false;;true;false;false;true;false
"0290189";"BACC";"0017483";;"430-596";"O";"Actosolv sol. inj./perf. (pdr) i.v./i.artér. [flac.] 1x 600000UI";;"00328";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. (pdr) i.v./i.artér. [flac.]";0.0000;0.0000;0.0000;"31617";"urokinase injection/perfusion 600 000 UI [NOVOS: biologique]";false;false;;false;false;false;true;false
"1475581";"MABBA";"0012765";;"15016-1024";"O";"Leustatin sol. perf. à diluer i.v. [amp.] 7x 10mg/10ml";;"00084";;7;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer i.v. [amp.]";0.0000;0.0000;0.0000;"6874";"cladribine perfusion 10 mg / 10 ml [no switch: onco]";false;false;;true;false;false;true;false
"1777093";"ALAD";"0001594";"G";"24620-1289";"O";"Simvastatine Viatris compr. pellic. (séc.) 28x 20mg";;"00043";;28;"x";;;;;0.0000;;;;"R";"a4 b";9.8400;;;;;"compr. pellic. (séc.)";5.3900;1.5100;0.9100;"28753";"simvastatine oral 20 mg";false;true;;true;false;false;true;false
"0131136";"FDAA";"0005777";;"22293-1446";"O";"Prostin E2 compr. vag. 4x 3mg";;"00171";;4;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"compr. vag.";0.0000;0.0000;0.0000;"9480";"dinoprostone vaginal 3 mg";false;false;;true;false;false;true;false
"0291948";"JAAT";"0007690";;"12104-1446";"O";"Halcion compr. (séc.) 10x 0,25mg";;"00019";;10;"x";;;;;0.0000;;;;"R";;9.1200;;;;;"compr. (séc.)";91.2000;9.1200;9.1200;"31401";"triazolam oral 0,25 mg";false;false;;false;false;false;true;false
"0601179";"FDAA";"0005777";;"21923-1446";"O";"Prepidil gel endocerv. [ser. préremplie] 1x 0,5mg/3g";;"00415";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"gel endocerv. [ser. préremplie]";0.0000;0.0000;0.0000;"9449";"dinoprostone endocervical 0,5 mg / 3 g";false;false;;false;false;false;true;false
"0481754";"FDAA";"0005777";;"22285-1446";"O";"Prostin 15M sol. inj. i.m. [amp.] 1x 0,25mg/1ml";;"00219";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj. i.m. [amp.]";0.0000;0.0000;0.0000;"5348";"carboprost injection 0,25 mg / 1 ml";false;false;;false;false;false;true;false
"0291955";"JAAT";"0007690";;"12104-1446";"O";"Halcion compr. 10x 0,125mg";;"00007";;10;"x";;;;;0.0000;;;;"R";;6.8900;;;;;"compr.";68.9000;6.8900;6.8900;"31393";"triazolam oral 0,125 mg";false;false;;false;false;false;true;false
"0101626";"JCBAB";"0016501";"B";"1628-1248";"O";"Anafranil sol. perf. i.v. [amp.] 10x 25mg/2ml";;"00162";;10;"x";;;;;0.0000;;;;"R";"b";11.2300;;;;;"sol. perf. i.v. [amp.]";19.8000;1.9800;1.1900;"7203";"clomipramine perfusion 25 mg / 2 ml";false;false;;true;false;false;true;false
"0600197";"LCAAA";"0012005";;"2378-4176";"O";"Grafalon sol. perf. à diluer i.v. [flac.] 1x 100mg/5ml";;"00008";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer i.v. [flac.]";0.0000;0.0000;0.0000;"16832";"immunoglobulines antilymphocytes T perfusion 100 mg / 5 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"0233189";"EEBB";"0017681";"G";"11908-661";"O";"Glypressin sol. inj./perf. (pdr+solv.) i.v. [flac.+amp.] 5x 1mg";;"00057";;5;"x";;;;"s";5.0000;"ml";;;;;0.0000;"H";;;;"sol. inj./perf. (pdr + solv.) i.v. [flac. + amp.]";0.0000;0.0000;0.0000;"30148";"terlipressine injection/perfusion 1 mg";false;true;;true;false;false;true;false
"2672137";"ONEA";"0014811";;"3244-2261";"O";"Biatain pansement Soft Hold 5x (15x15cm)";;"00618";;5;"x";;;;;0.0000;;;;;"4";38.2200;;;;;"pansement Soft Hold";764.4000;38.2200;38.2200;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"3641073";"ALAC";"0001586";"G";"38307-1289";"O";"Rosuvastatine Viatris compr. pellic. 28x 40mg";;"00004";;28;"x";;;;;0.0000;;;;"R";"a4 b";10.7700;;;;;"compr. pellic.";6.5400;1.8300;1.1000;"28050";"rosuvastatine oral 40 mg";false;true;;true;false;false;true;false
"1777119";"ALAD";"0001594";"G";"24620-1289";"O";"Simvastatine Viatris compr. pellic. 98x 40mg";;"00004";;98;"x";;;;;0.0000;;;;"R";"a4 b";19.5600;;;;;"compr. pellic.";4.9000;4.8000;2.8800;"28761";"simvastatine oral 40 mg";false;true;;true;false;false;true;false
"0614826";"RACA";"0019133";;"27185-232";"O";"Tracrium sol. inj./perf. i.v. [amp.] 5x 50mg/5ml";;"00046";;5;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"2550";"atracurium injection/perfusion 50 mg / 5 ml";false;false;;true;false;false;true;false
"2672129";"ONEA";"0014811";;"3244-2261";"O";"Biatain pansement Soft Hold 5x (10x20cm)";;"00618";;5;"x";;;;;0.0000;;;;;"4";35.1100;;;;;"pansement Soft Hold";702.2000;35.1100;35.1100;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"1185610";"KBAA";"0010421";;"1321-794";"O";"AmBisome disp. perf. à diluer (pdr) i.v. Liposomale [flac.] 10x 50mg";;"00416";;10;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"disp. perf. à diluer (pdr) i.v. Liposomale [flac.]";0.0000;0.0000;0.0000;"1453";"amphotéricine B perfusion 50 mg";false;false;;true;false;false;true;false
"0852046";"EEED";"0017715";"G";"24869-596";"O";"Somatostatine-Eumedica sol. perf. (pdr+solv.) i.v. [2x amp.] 1x 3mg";;"00307";;1;"x";;;;"s";1.0000;"ml";;;;;0.0000;"H";;;;"sol. perf. (pdr + solv.) i.v. [2x amp.]";0.0000;0.0000;0.0000;"28936";"somatostatine perfusion 3 mg";false;true;;true;false;false;true;false
"0674671";"RACA";"0019133";;"27185-232";"O";"Tracrium sol. inj./perf. i.v. [amp.] 10x 25mg/2,5ml";;"00046";;10;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"2543";"atracurium injection/perfusion 25 mg / 2,5 ml";false;false;;true;false;false;true;false
"2480283";"ONAA";"0014738";;"6734-2238";"O";"Curasorb mèche 5x (2x30cm)";;"00430";;5;"x";;;;;0.0000;;;;;"4";30.0000;;;;;"mèche";600.0000;30.0000;30.0000;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"0855031";"RAFA";"0021055";;"23598-596";"O";"Robinul sol. inj. i.m./i.v. [amp.] 5x 0,2mg/1ml";;"00018";;5;"x";;;;;0.0000;;;;"R";;22.6400;;;;;"sol. inj. i.m./i.v. [amp.]";452.8000;22.6400;22.6400;"14878";"glycopyrronium injection 0,2 mg / 1 ml";false;false;;false;false;false;true;false
"1113323";"RAFA";"0021055";;"23606-596";"U";"Robinul-Neostigmine 0,5/2,5 sol. inj. i.v. [amp.] 10x";;"00037";;10;"x";;;;;0.0000;;;;"R";;40.4700;;;;;"sol. inj. i.v. [amp.]";404.7000;40.4700;40.4700;"14886";"glycopyrronium + néostigmine injection 0,5 mg + 2,5 mg / 1 ml";false;false;;false;false;false;true;false
"1295351";"JHA";"0009092";;"15321-1347";"O";"Lioresal sol. inj./perf. i.théc. [amp.] 1x 0,05mg/1ml";;"00052";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.théc. [amp.]";0.0000;0.0000;0.0000;"2873";"baclofène injection/perfusion 0,05 mg / 1 ml";false;false;;false;false;false;true;false
"1114412";"RACC";"0019158";;"17483-232";"O";"Mivacron sol. inj./perf. i.v. [amp.] 5x 10mg/5ml";;"00046";;5;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"21857";"mivacurium injection/perfusion 10 mg / 5 ml";false;false;;true;false;false;true;false
"0895730";"MFB";"0018978";"B";"28092-281";"O";"Uromitexan sol. inj./perf. i.v. [flac.] 15x 400mg/4ml";;"00113";;15;"x";;;;;0.0000;;;;"R";"b";38.1300;;;;;"sol. inj./perf. i.v. [flac.]";64.7300;9.7100;5.7700;"20685";"mesna injection/perfusion 400 mg / 4 ml [no switch: onco]";false;false;;true;false;false;true;false
"0892273";"ANA";"0001792";;"22301-1446";"O";"Prostin VR sol. inj./perf. i.v./i.artér. [amp.] 1x 0,5mg/1ml";;"00398";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v./i.artér. [amp.]";0.0000;0.0000;0.0000;"1297";"alprostadil injection/perfusion 0,5 mg / 1 ml";false;false;;true;false;false;true;false
"1114404";"RACC";"0019158";;"17483-232";"O";"Mivacron sol. inj./perf. i.v. [amp.] 5x 20mg/10ml";;"00046";;5;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"21865";"mivacurium injection/perfusion 20 mg / 10 ml";false;false;;true;false;false;true;false
"1085877";"KDAC";"0010777";;"11114-463";"O";"Foscavir 24 mg/1 ml sol. perf. à diluer/sol. perf. i.v. [flac.] 1x 6g/250ml";;"00183";;1;"x";;;;;0.0000;;;;"R";;0.0000;"H";;;;"sol. perf. à diluer/sol. perf. i.v. [flac.]";0.0000;0.0000;0.0000;"13847";"foscarnet perfusion 6 g / 250 ml";false;false;;false;false;false;true;false
"2480325";"ONAA";"0014738";;"6734-2238";"O";"Curasorb pansement Plus 10x (10x14cm)";;"00374";;10;"x";;;;;0.0000;;;;;"4";35.0000;;;;;"pansement Plus";350.0000;35.0000;35.0000;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"1777127";"ALAD";"0001594";"G";"24620-1289";"O";"Simvastatine Viatris compr. pellic. (séc.) 84x 20mg";;"00043";;84;"x";;;;;0.0000;;;;"R";"a4 b";13.9100;;;;;"compr. pellic. (séc.)";3.4400;2.8900;1.7300;"28753";"simvastatine oral 20 mg";false;true;;true;false;false;true;false
"2363596";"JGAAA";"0008730";"B";"28258-1289";"O";"Valproate Viatris sol. inj./perf. i.v. [amp.] 5x 300mg/3ml";;"00046";;5;"x";;;;;0.0000;;;;"R";"a";24.0600;;;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"31773";"valproate injection/perfusion 300 mg / 3 ml [no switch: antiépileptique]";true;false;;true;false;false;true;false
"1226125";"MADBA";"0013094";"G";"9308-1818";"O";"Eposin sol. perf. à diluer i.v. [flac.] 1x 100mg/5ml";;"00008";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer i.v. [flac.]";0.0000;0.0000;0.0000;"11791";"étoposide perfusion 100 mg / 5 ml [no switch: onco]";false;true;;true;false;false;true;false
"1232198";"MADBA";"0013094";"G";"9308-1818";"O";"Eposin sol. perf. à diluer i.v. [flac.] 1x 500mg/25ml";;"00008";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer i.v. [flac.]";0.0000;0.0000;0.0000;"11858";"étoposide perfusion 500 mg / 25 ml [no switch: onco]";false;true;;true;false;false;true;false
"1350677";"ONGA";"0014852";;"4382-2253";"O";"Carboflex pansement 5x (15x20cm)";;"00273";;5;"x";;;;;0.0000;;;;;"4";158.1000;;;;;"pansement";3162.0000;158.1000;158.1000;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"1544477";"ONAA";"0014738";;"25528-2295";"O";"Suprasorb A mèche 5x (2x30cm)";;"00430";;5;"x";;;;;0.0000;;;;;"4";27.1900;;;;;"mèche";543.8000;27.1900;27.1900;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"1629559";"ONBA";"0014753";;"12500-2279";"O";"Hydrocoll pansement 5x (15x15cm)";;"00273";;5;"x";;;;;0.0000;;;;;"4";42.1600;;;;;"pansement";843.2000;42.1600;42.1600;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"2116572";"ONBA";"0014753";;"8425-2253";"O";"Duoderm pansement Extra mince 10x (9x25cm)";;"00584";;10;"x";;;;;0.0000;;;;;"4";75.5500;;;;;"pansement Extra mince";755.5000;75.5500;75.5500;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"2304863";"ONAA";"0014738";;"26054-2287";"O";"Tegaderm Alginate pansement 10x (10x10cm)";;"00273";;10;"x";;;;;0.0000;;;;;"4";33.8500;;;;;"pansement";338.5000;33.8500;33.8500;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"3641040";"ALAC";"0001586";"G";"38307-1289";"O";"Rosuvastatine Viatris compr. pellic. 98x 10mg";;"00004";;98;"x";;;;;0.0000;;;;"R";"a4 b";22.3300;;;;;"compr. pellic.";5.8600;5.7400;3.4400;"28035";"rosuvastatine oral 10 mg";false;true;;true;false;false;true;false
"3641065";"ALAC";"0001586";"G";"38307-1289";"O";"Rosuvastatine Viatris compr. pellic. 98x 20mg";;"00004";;98;"x";;;;;0.0000;;;;"R";"a4 b";22.6700;;;;;"compr. pellic.";5.9700;5.8500;3.5100;"28043";"rosuvastatine oral 20 mg";false;true;;true;false;false;true;false
"1446764";"MAEAB";"0013136";"G";"28936-1818";"O";"Vincrisin sol. inj./perf. i.v. [flac.] 1x 1mg/1ml";;"00113";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [flac.]";0.0000;0.0000;0.0000;"32177";"vincristine injection/perfusion 1 mg / 1 ml [no switch: onco]";false;true;;true;false;false;true;false
"2970754";"ONFA";"0014837";;"32847-2477";"O";"Spycra Protect pansement 3x (18x30cm)";;"00273";;3;"x";;;;;0.0000;;;;;"4";101.3800;;;;;"pansement";3379.3300;101.3800;101.3800;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"2970762";"ONFA";"0014837";;"32847-2477";"O";"Spycra Protect pansement 1x (5x150cm)";;"00273";;1;"x";;;;;0.0000;;;;;"4";46.9400;;;;;"pansement";4694.0000;46.9400;46.9400;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"2357051";"BABBEA";"0002196";;"1842-1800";"O";"Concentré d’Antithrombine III Baxalta sol. inj./perf. (pdr+solv.) i.v. [2x flac.] 1x 500UI";;"00034";;1;"x";;;;"s";10.0000;"ml";;;;;0.0000;"H";"avec aiguilles et set de perfusion";;;"sol. inj./perf. (pdr + solv.) i.v. [2x flac.]";0.0000;0.0000;0.0000;"2097";"antithrombine injection/perfusion 500 UI [NOVOS: biologique]";false;false;;true;false;false;true;false
"2251767";"DCBA";"0004143";;"6759-455";"O";"Curosurf susp. instill. endotrach. 1x 120mg/1,5ml";;"00315";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"susp. instill. endotrach.";0.0000;0.0000;0.0000;"29488";"surfactant instillation 120 mg / 1,5 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"2511830";"CDAB";"0002857";;"17814-885";"O";"Motilium (Impexeco) compr. pellic. 30x 10mg";;"00004";;30;"x";;;;;0.0000;;;;"R";;8.8600;;"importation parallèle";;;"compr. pellic.";29.5300;8.8600;8.8600;"9738";"dompéridone oral 10 mg";false;false;;false;false;false;true;false
"2562387";"RACD";"0019166";"G";"9464-1263";"O";"Esmeron sol. inj./perf. i.v. [amp.] 10x 50mg/5ml";;"00046";;10;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"27888";"rocuronium injection/perfusion 50 mg / 5 ml";false;true;;true;false;false;true;false
"3391232";"HBAA";"0006437";;"6973-885";"O";"Dafalgan (Impexeco) compr. pellic. (séc.) Forte 16x 1g";;"00283";;16;"x";;;;;0.0000;;;;"R";;5.0500;;"importation parallèle; sur prescription ou sur demande écrite du patient";;;"compr. pellic. (séc.) Forte";31.5600;5.0500;5.0500;"24745";"paracétamol oral 1 g";false;false;;false;false;false;true;false
"3948775";"MBCA";"8900722";;"42465-1446";"O";"Talzenna gél. 30x 0,25mg";;"00012";;30;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"gél.";0.0000;0.0000;0.0000;"43588";"talazoparib oral 0,25 mg [no switch: onco]";true;false;;true;false;false;true;false
"3641081";"ALAC";"0001586";"G";"38307-1289";"O";"Rosuvastatine Viatris compr. pellic. 98x 40mg";;"00004";;98;"x";;;;;0.0000;;;;"R";"a4 b";23.1900;;;;;"compr. pellic.";6.1700;6.0500;3.6300;"28050";"rosuvastatine oral 40 mg";false;true;;true;false;false;true;false
"3677853";"ALAC";"0001586";"G";"38307-1289";"O";"Rosuvastatine Viatris compr. pellic. 98x 5mg";;"00004";;98;"x";;;;;0.0000;;;;"R";"a4 b";13.6800;;;;;"compr. pellic.";2.8700;2.8100;1.6900;"28068";"rosuvastatine oral 5 mg";false;true;;true;false;false;true;false
"2618478";"AFAE";"0000778";"G";"29850-1529";"O";"Zanidip (PI-Pharma) compr. pellic. (séc.) 56x 10mg";;"00043";;56;"x";;;;;0.0000;;;;"R";"b";15.9400;;"importation parallèle";;;"compr. pellic. (séc.)";6.3900;3.5800;2.1500;"18697";"lercanidipine oral 10 mg";false;true;;true;false;false;true;false
"2680189";"LACIA";"0018499";;"3764-1529";"O";"Broncho-Vaxom (PI-Pharma) gél. Adulte 30x";;"00376";;30;"x";;;;;0.0000;;;;"R";;34.7000;;"importation parallèle";;;"gél. Adulte";115.6700;34.7000;34.7000;"19950";"lysat d'Haemophilus influenzae, de Klebsiella ozaenae, de Klebsiella pneumoniae, de Neisseria catarrhalis, de pneumocoque, de staphylocoque, de streptocoques oral adulte [NOVOS: biologique]";false;false;;false;false;false;true;false
"2675775";"AGAE";"0000943";"G";"15420-1529";"O";"Lisinopril EG (PI-Pharma) compr. (séc. en 4) 98x 20mg";;"00150";;98;"x";;;;;0.0000;;;;"R";"b";22.1200;;"importation parallèle";;;"compr. (séc. en 4)";5.7800;5.6600;3.4000;"19620";"lisinopril oral 20 mg";false;true;;true;false;false;true;false
"2707446";"MEDC";"0004820";"G";"4564-1529";"O";"Casodex (PI-Pharma) compr. pellic. 28x 150mg";;"00004";;28;"x";;;;;0.0000;;;;"R";"a4";135.1700;;"importation parallèle";;;"compr. pellic.";0.0000;0.0000;0.0000;"3681";"bicalutamide oral 150 mg [no switch: onco]";false;true;;true;false;false;true;false
"2604759";"GBBA";"0006247";;"2634-1529";"O";"Avodart (PI-Pharma) caps. molle 30x 0,5mg";;"00024";;30;"x";;;;;0.0000;;;;"R";;44.8300;;"importation parallèle";;;"caps. molle";149.4300;44.8300;44.8300;"10041";"dutastéride oral 0,5 mg";false;false;;false;false;false;true;false
"2828663";"FCBAA";"0005702";;"10090-885";"U";"Femoston (Impexeco) 1/5 compr. pellic. Conti 3x28";;"00422";;3;"x";28.0000;"x";;;0.0000;;;;"R";;43.6900;;"pas d'interruption entre les cycles de traitement; importation parallèle";;;"compr. pellic. Conti";52.0100;43.6900;43.6900;"11312";"estradiol + dydrogestérone oral 1 mg + 5 mg";false;false;;false;false;false;true;false
"0065979";"KAAAAA";"8902454";;"21113-968";"O";"Penicilline sol. inj./perf. (pdr) i.m./i.v./i.artic./i.burs. [flac.] 100x 5MMUI";;"00350";;100;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. (pdr) i.m./i.v./i.artic./i.burs. [flac.]";0.0000;0.0000;0.0000;"3335";"benzylpénicilline (sodium) injection/perfusion 5 000 000 UI";false;false;;true;false;false;true;false
"3872165";"GAAG";"0006122";"G";"40816-1289";"O";"Solifenacine Viatris compr. pellic. 90x 5mg";;"00004";;90;"x";;;;;0.0000;;;;"R";"b4";37.9500;;;;;"compr. pellic.";10.7400;9.6700;5.7500;"28902";"solifénacine oral 5 mg";false;true;;true;false;false;true;false
"3872157";"GAAG";"0006122";"G";"40816-1289";"O";"Solifenacine Viatris compr. pellic. 30x 10mg";;"00004";;30;"x";;;;;0.0000;;;;"R";"b4";19.6700;;;;;"compr. pellic.";16.1300;4.8400;2.9000;"28894";"solifénacine oral 10 mg";false;true;;true;false;false;true;false
"3210309";"ONFA";"0014837";;"32482-2295";"O";"Lomatuell Pro pansement 50x (10x10cm)";;"00273";;50;"x";;;;;0.0000;;;;;"4";98.5600;;;;;"pansement";197.1200;98.5600;98.5600;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"2678605";"AGAF";"0000950";"G";"6619-1529";"O";"Coversyl (PI-Pharma) compr. pellic. 60x 10mg";;"00004";;60;"x";;;;;0.0000;;;;"R";"b";29.2700;;"importation parallèle";;;"compr. pellic.";12.7000;7.6200;4.5400;"25494";"périndopril oral éq. 8 mg";false;true;;true;false;false;true;false
