"StofCV";"nInNm";"fInNm";"NBase";"NInNmX";"NSaltEstr";"FBase";"FInNmX";"FSaltEstr";"Amb";"Hosp"
"00163";"bacteriënfiltraat (polyvalent)";"filtrat bactérien (polyvalent)";"bacteriënfiltraat";"polyvalent [bacterieel, biologisch]";;"filtrat bactérien";"polyvalent [bactérien, biologique]";;true;false
"01754";"tobramycine sulfaat";"tobramycine sulfate";"tobramycine";"[bacterieel]";"sulfaat";"tobramycine";"[bactérien]";"sulfate";true;false
"00452";"Cynara scolymus (droog extract)";"Cynara scolymus (extrait sec)";"Cynara scolymus";"droog extract L. folium [plantaardig]";;"Cynara scolymus";"extrait sec L. folium [végétal]";;true;false
"00572";"droperidol";"dropéridol";"droperidol";;;"dropéridol";;;true;false
"01958";"pethidine hydrochloride";"péthidine chlorhydrate";"pethidine";;"hydrochloride";"péthidine";;"chlorhydrate";true;false
"00968";"jood";"iode";"jood";;;"iode";;;true;false
"01277";"nitrofural";"nitrofural";"nitrofural";;;"nitrofural";;;true;false
"00453";"Cynara scolymus (poeder)";"Cynara scolymus (poudre)";"Cynara scolymus";"poeder [plantaardig]";;"Cynara scolymus";"poudre [végétal]";;true;false
"01966";"EDTA";"EDTA";"EDTA";;;"EDTA";;;true;false
"02045";"waterstofcarbonaat";"hydrogénocarbonate";"waterstofcarbonaat";;;"hydrogénocarbonate";;;true;false
"00491";"desmopressine acetaat";"desmopressine acétate";"desmopressine";;"acetaat";"desmopressine";;"acétate";true;false
"00676";"factor VIII";"facteur VIII";"factor VIII";"[biologisch, humaan plasma]";;"facteur VIII";"[biologique, plasma humain]";;true;false
"00604";"eosine dinatrium";"éosine disodium";"eosine";;"dinatrium";"éosine";;"disodium";true;false
"02139";"alirocumab";"alirocumab";"alirocumab";"[biologisch, biosynthetisch]";;"alirocumab";"[biologique, biosynthétique]";;true;false
"00230";"Bordetella pertussis (antigenen)";"Bordetella pertussis (antigènes)";"Bordetella pertussis";"antigenen [bacterieel, biologisch]";;"Bordetella pertussis";"antigènes [bactérien, biologique]";;true;false
"01758";"tolterodine tartraat";"toltérodine tartrate";"tolterodine";;"tartraat";"toltérodine";;"tartrate";true;false
"01219";"mycofenolaat natrium";"mycophénolate sodium";"mycofenolaat";;"natrium";"mycophénolate";;"sodium";true;false
"00804";"gadoxetaat dinatrium";"gadoxétate disodium";"gadoxetaat";;"dinatrium";"gadoxétate";;"disodium";true;false
"00711";"fesoterodine fumaraat";"fésotérodine fumarate";"fesoterodine";;"fumaraat";"fésotérodine";;"fumarate";true;false
"02133";"defibrotide";"défibrotide";"defibrotide";"[biologisch, darmslijmvlies varken]";;"défibrotide";"[biologique, muqueuse intestinale de porc]";;true;false
"00558";"dosulepine";"dosulépine";"dosulepine";;;"dosulépine";;;true;false
"00291";"carbocisteïne";"carbocistéine";"carbocisteïne";;;"carbocistéine";;;true;false
"02065";"eliglustat tartraat";"éliglustat tartrate";"eliglustat";;"tartraat";"éliglustat";;"tartrate";true;false
"00903";"ijzer(III) sacharose";"fer(III) saccharose";"ijzer(III)";;"sacharose";"fer(III)";;"saccharose";true;false
"01532";"retinol";"rétinol";"retinol";;;"rétinol";;;true;false
"02008";"selenium (onder vorm van natriumseleniet)";"sélénium (sous forme de sélénite de sodium)";"selenium";"onder vorm van natriumseleniet";;"sélénium";"sous forme de sélénite de sodium";;true;false
"01153";"methylaminolevulinaat hydrochloride";"méthyl aminolévulinate chlorhydrate";"methylaminolevulinaat";;"hydrochloride";"méthyl aminolévulinate";;"chlorhydrate";true;false
"02134";"humaan papillomavirus types 6, 11, 16, 18, 31, 33, 45, 52, 58 (L1-eiwitten)";"papillomavirus humain de types 6, 11, 16, 18, 31, 33, 45, 52, 58 (protéines L1)";"humaan papillomavirus types 6, 11, 16, 18, 31, 33, 45, 52, 58";"L1-eiwitten [biologisch, biosynthetisch]";;"papillomavirus humain de types 6, 11, 16, 18, 31, 33, 45, 52, 58";"protéines L1 [biologique, biosynthétique]";;true;false
"00403";"clodroninezuur";"acide clodronique";"clodroninezuur";;;"acide clodronique";;;true;false
"00972";"joxaglinezuur";"acide ioxaglique";"joxaglinezuur";;;"acide ioxaglique";;;true;false
"00035";"Aesculus hippocastanum (aescine)";"Aesculus hippocastanum (aescine)";"Aesculus hippocastanum";"aescine droog extract [plantaardig]";;"Aesculus hippocastanum";"aescine extrait sec [végétal]";;true;false
"01517";"raltegravir kalium";"raltégravir potassium";"raltegravir";;"kalium";"raltégravir";;"potassium";true;false
"02508";"allergeenextract van Dermatophagoides farinae";"extrait allergénique de Dermatophagoides farinae";"allergeenextract van Dermatophagoides farinae";"[biologisch, huisstofmijten]";;"extrait allergénique de Dermatophagoides farinae";"[acariens, biologique]";;true;false
"01571";"rotavirus, 1 type (levend verzwakt)";"rotavirus, 1 type (vivants atténués)";"rotavirus, 1 type";"levend verzwakt [biologisch, viraal]";;"rotavirus, 1 type";"vivants atténués [biologique, viral]";;true;false
"01572";"rotavirus, 5 types (levend verzwakt)";"rotavirus, 5 types (vivants atténués)";"rotavirus, 5 types";"levend verzwakt [biologisch, viraal]";;"rotavirus, 5 types";"vivants atténués [biologique, viral]";;true;false
"01955";"Rhodiola rosea (droog extract)";"Rhodiola rosea (extrait sec)";"Rhodiola rosea";"droog extract L., Wortel, EtOH 60% 1,5-5:1";;"Rhodiola rosea";"extrait sec L., Racine EtOH 60% 1,5-5:1";;true;false
"01881";"Camellia sinensis (droog extract)";"Camellia sinensis (extrait sec)";"Camellia sinensis";"droog extract (L.) O. Kuntze, blad (groene theeblad) [plantaardig]";;"Camellia sinensis";"extrait sec (L.) O. Kuntze folium (feuille de thé vert) [végétal]";;true;false
"01878";"bedaquiline fumaraat";"bédaquiline fumarate";"bedaquiline";;"fumaraat";"bédaquiline";;"fumarate";true;false
"01324";"oteracil kalium";"otéracil potassium";"oteracil";;"kalium";"otéracil";;"potassium";true;false
"01413";"piperaquine tetrafosfaat";"pipéraquine tétraphosphate";"piperaquine";"tetrahydraat";"tetrafosfaat";"pipéraquine";"tétrahydraté";"tétraphosphate";true;false
"02506";"allergeenextract van huisstofmijten";"extrait allergénique d'acariens";"allergeenextract van huisstofmijten";"[biologisch, huisstofmijten]";;"extrait allergénique d'acariens";"[acariens, biologique]";;true;false
"01268";"nifluminezuur";"acide niflumique";"nifluminezuur";;;"acide niflumique";;;true;false
"00971";"joversol";"ioversol";"joversol";;;"ioversol";;;true;false
"00061";"allergeenextract van pollen van 5 grassoorten 300 IR";"extrait allergénique de pollen de 5 graminées 300 IR";"allergeenextract van pollen van 5 grassoorten 300 IR";"[biologisch, plantaardig]";;"extrait allergénique de pollen de 5 graminées 300 IR";"[biologique, végétal]";;true;false
"00194";"betahistine dimesilaat";"bétahistine dimésilate";"betahistine";;"dimesilaat";"bétahistine";;"dimésilate";true;false
"02066";"oestrogenen (geconjugeerd)";"estrogènes (conjugués)";"oestrogenen";"geconjugeerd [merrie urine]";;"estrogènes";"conjugués [urine de jument]";;true;false
"02056";"safinamide methaansulfonaat";"safinamide méthanesulfonate";"safinamide";;"methaansulfonaat";"safinamide";;"méthanesulfonate";true;false
"00415";"cloperastine fendizoaat";"clopérastine fendizoate";"cloperastine";;"fendizoaat";"clopérastine";;"fendizoate";true;false
"01980";"water voor injectie";"eau pour injection";"water voor injectie";;;"eau pour injection";;;true;false
"00020";"acetylsalicylzuur lysine";"acide acétylsalicylique lysine";"acetylsalicylzuur";;"lysine";"acide acétylsalicylique";;"lysine";true;false
"00218";"bismut oxijodidegallaat";"bismuth oxyiodogallate";"bismut";;"oxijodidegallaat";"bismuth";;"oxyiodogallate";true;false
"02129";"ceftaroline fosamil";"ceftaroline fosamil";"ceftaroline";"niet-gesolvateerd";"fosamil";"ceftaroline";"non-solvaté";"fosamil";true;false
"00297";"carteolol";"cartéolol";"carteolol";;;"cartéolol";;;true;false
"00485";"degarelix acetaat";"dégarélix acétate";"degarelix";;"acetaat";"dégarélix";;"acétate";true;false
"00651";"ethinylestradiol betadexcladraat";"éthinylestradiol bétadex clathrate";"ethinylestradiol";;"betadexcladraat";"éthinylestradiol";;"bétadex clathrate";true;false
"01999";"glucosamine sulfaat-kaliumchloride";"glucosamine sulfate-chlorure de potassium";"glucosamine";"[schaaldieren]";"sulfaat-kaliumchloride";"glucosamine";"[crustacés]";"sulfate-chlorure de potassium";true;false
"00167";"barnidipine hydrochloride";"barnidipine chlorhydrate";"barnidipine";;"hydrochloride";"barnidipine";;"chlorhydrate";true;false
"00130";"asenapine maleaat";"asénapine maléate";"asenapine";;"maleaat";"asénapine";;"maléate";true;false
"00567";"doxorubicine hydrochloride (in liposomen)";"doxorubicine chlorhydrate (en liposomes)";"doxorubicine";"in liposomen";"hydrochloride";"doxorubicine";"en liposomes";"chlorhydrate";true;false
"00232";"bortezomib mannitolboronaat";"bortézomib boronate de mannitol";"bortezomib";;"mannitolboronaat";"bortézomib";;"boronate de mannitol";true;false
"01931";"Vitis vinifera (droog extract)";"Vitis vinifera (extrait sec)";"Vitis vinifera";"droog extract L., Blad, extractiesolvent Water (2,5-4:1) [plantaardig]";;"Vitis vinifera";"extrait sec L., folium, Solvant d'extraction : eau purifiée (4-6 :1) [végétal]";;true;false
"02013";"Thymi herba (droog extract)";"Thymi herba (extrait sec)";"Thymi herba";"droog extract Vulgaris L. - Zygis Loefl. ex L. (Ph.Eur.), Kruid, Droog Water Extract 7-13_1 [plantaardig]";;"Thymi herba";"extrait sec Vulgaris L. - Zygis Loefl. ex L. (Ph.Eur.), Herbe, Extrait Eau Sec 7-13_1 [végétal]";;true;false
"00695";"fenofibraat (nanopartikels)";"fénofibrate (nanoparticules)";"fenofibraat";"nanopartikels";;"fénofibrate";"nanoparticules";;true;false
"01015";"lapatinib ditosylaat";"lapatinib ditosylate";"lapatinib";"monohydraat";"ditosylaat";"lapatinib";"monohydraté";"ditosylate";true;false
"00766";"folinaat dinatrium";"folinate disodium";"folinaat";;"dinatrium";"folinate";;"disodium";true;false
"02510";"talazoparib tosylaat";"talazoparib tosylate";"talazoparib";;"tosylaat";"talazoparib";;"tosylate";true;false
"02511";"fosfaat mononatrium";"phosphate monosodium";"fosfaat";"monohydraat";"mononatrium";"phosphate";"monohydraté";"monosodium";true;false
"02512";"pivmecillinam";"pivmécillinam";"pivmecillinam";;;"pivmécillinam";;;true;false
"00144";"Atropa belladonna (tinctuur)";"Atropa belladonna (teinture)";"Atropa belladonna";"tinctuur [plantaardig]";;"Atropa belladonna";"teinture [végétal]";;true;false
"02513";"pivmecillinam hydrochloride";"pivmécillinam chlorhydrate";"pivmecillinam";;"hydrochloride";"pivmécillinam";;"chlorhydrate";true;false
"01717";"thiamfenicol glycinaatacetylcysteïnaat";"thiamphénicol glycinate acétylcystéinate";"thiamfenicol";;"glycinaatacetylcysteïnaat";"thiamphénicol";;"glycinate acétylcystéinate";true;false
"01725";"Thymus vulgaris (vloeibaar extract)";"Thymus vulgaris (extrait fluide)";"Thymus vulgaris";"vloeibaar extract kruid [plantaardig]";;"Thymus vulgaris";"extrait fluide herbe [végétal]";;true;false
"02515";"glucagon";"glucagon";"glucagon";;;"glucagon";;;true;false
"00303";"Cassia senna (sennoside B)";"Cassia senna (sennoside B)";"Cassia senna";"sennoside B vrucht [plantaardig]";;"Cassia senna";"sennoside B fruit [végétal]";;true;false
"01912";"simeprevir natrium";"siméprévir sodium";"simeprevir";;"natrium";"siméprévir";;"sodium";true;false
"02516";"Carum carvi (olie)";"Carum carvi (huile)";"Carum carvi";"olie [plantaardig]";;"Carum carvi";"huile [végétal]";;true;false
"00856";"hexamidine diisetionaat";"hexamidine diisétionate";"hexamidine";;"diisetionaat";"hexamidine";;"diisétionate";true;false
"00160";"Bacillus Calmette-Guérin (stam Tice)";"Bacilles Calmette-Guérin (souche Tice)";"Bacillus Calmette-Guérin";"stam Tice [bacterieel, biologisch]";;"Bacilles Calmette-Guérin";"souche Tice [bactérien, biologique]";;true;false
"02520";"crisaborole";"crisaborole";"crisaborole";;;"crisaborole";;;true;false
"00159";"Bacillus Calmette-Guérin (stam RIVM)";"Bacilles Calmette-Guérin (souche RIVM)";"Bacillus Calmette-Guérin";"stam RIVM [bacterieel, biologisch]";;"Bacilles Calmette-Guérin";"souche RIVM [bactérien, biologique]";;true;false
"00302";"Cassia senna (blad)";"Cassia senna (feuille)";"Cassia senna";"blad [plantaardig]";;"Cassia senna";"feuille [végétal]";;true;false
"00333";"Chamomilla recutita (ethanolisch extract)";"Chamomilla recutita (extrait éthanolique)";"Chamomilla recutita";"ethanolisch extract bloem [plantaardig]";;"Chamomilla recutita";"extrait éthanolique fleur [végétal]";;true;false
"00040";"agomelatine";"agomélatine";"agomelatine";;;"agomélatine";;;true;false
"00443";"Crataegus (droog extract)";"Crataegus (extrait sec)";"Crataegus";"droog extract bloem [plantaardig]";;"Crataegus";"extrait sec fleur [végétal]";;true;false
"01008";"lanoline (vloeibaar)";"lanoline (liquide)";"lanoline";"vloeibaar [schaap]";;"lanoline";"liquide [mouton]";;true;false
"00830";"glucosamine sulfaat-natriumchloride";"glucosamine sulfate-chlorure de sodium";"glucosamine";"[schaaldieren]";"sulfaat-natriumchloride";"glucosamine";"[crustacés]";"sulfate-chlorure de sodium";true;false
"02514";"varicellavirus-zona (glycoproteïne E)";"virus de la varicelle-zona (glycoprotéine E)";"varicellavirus-zona";"glycoproteïne E [biologisch, biosynthetisch, viraal]";;"virus de la varicelle-zona";"glycoprotéine E [biologique, biosynthétique, viral]";;true;false
"00418";"clopidogrel besilaat";"clopidogrel bésilate";"clopidogrel";;"besilaat";"clopidogrel";;"bésilate";true;false
"02519";"varicellavirus-zona (levend verzwakt)";"virus de la varicelle-zona (vivants atténués)";"varicellavirus-zona";"levend verzwakt [biologisch, viraal]";;"virus de la varicelle-zona";"vivants atténués [biologique, viral]";;true;false
"02522";"triëntine";"trientine";"triëntine";;;"trientine";;;true;false
"02523";"triëntine tetrahydrochloride";"trientine tétrachlorhydrate";"triëntine";;"tetrahydrochloride";"trientine";;"tétrachlorhydrate";true;false
"02502";"perflutren";"perflutrène";"perflutren";;;"perflutrène";;;true;false
"01120";"meningokokken type A, C, W, Y (oligosachariden, geconjugeerd)";"méningocoques type A, C, W, Y (oligosaccharides, conjugué)";"meningokokken type A, C, W, Y";"oligosachariden, geconjugeerd [bacterieel, biologisch]";;"méningocoques type A, C, W, Y";"oligosaccharides, conjugué [bactérien, biologique]";;true;false
"01121";"meningokokken type A, C, W, Y (polysachariden, geconjugeerd)";"méningocoques type A, C, W, Y (polysaccharides, conjugué)";"meningokokken type A, C, W, Y";"polysachariden, geconjugeerd [bacterieel, biologisch]";;"méningocoques type A, C, W, Y";"polysaccharides, conjugué [bactérien, biologique]";;true;false
"02124";"magnesium chloride";"magnésium chlorure";"magnesium";"watervrij";"chloride";"magnésium";"anhydre";"chlorure";true;false
"00462";"dacarbazine citraat";"dacarbazine citrate";"dacarbazine";;"citraat";"dacarbazine";;"citrate";true;false
"01043";"levomenthol";"lévomenthol";"levomenthol";;;"lévomenthol";;;true;false
"01313";"omega-3-vetzuren (ethylesters) (waaronder eicosapentaeenzuur EPA en docosahexaeenzuur DHA)";"acides gras oméga-3 (esters éthyliques) (incluant l'acide eicosapentanoïque EPA et l'acide docosahexanoïque DHA)";"omega-3-vetzuren (ethylesters)";"waaronder eicosapentaeenzuur EPA en docosahexaeenzuur DHA";;"acides gras oméga-3 (esters éthyliques)";"incluant l'acide eicosapentanoïque EPA et l'acide docosahexanoïque DHA";;true;false
"02503";"perflutren (microsferen van humaan albumine)";"perflutrène (microsphères d’albumine humaine)";"perflutren";"microsferen van humaan albumine";;"perflutrène";"microsphères d’albumine humaine";;true;false
"01263";"nicotine betadex";"nicotine bétadex";"nicotine";;"betadex";"nicotine";;"bétadex";true;false
"01307";"oleaat natrium";"oléate sodium";"oleaat";;"natrium";"oléate";;"sodium";true;false
"01893";"hexaminolevulinaat";"hexyl aminolévulinate";"hexaminolevulinaat";;;"hexyl aminolévulinate";;;true;false
"00036";"Aesculus hippocastanum (droog extract)";"Aesculus hippocastanum (extrait sec)";"Aesculus hippocastanum";"droog extract [plantaardig]";;"Aesculus hippocastanum";"extrait sec [végétal]";;true;false
"02500";"upadacitinib";"upadacitinib";"upadacitinib";;;"upadacitinib";"anhydre";;true;false
"02507";"allergeenextract van Dermatophagoides pteronyssinus";"extrait allergénique de Dermatophagoides pteronyssinus";"allergeenextract van Dermatophagoides pteronyssinus";"[biologisch, huisstofmijten]";;"extrait allergénique de Dermatophagoides pteronyssinus";"[acariens, biologique]";;true;false
"00357";"choriongonadotropine alfa";"choriogonadotropine alfa";"choriongonadotropine alfa";"[biologisch, biosynthetisch]";;"choriogonadotropine alfa";"[biologique, biosynthétique]";;true;false
"00666";"Eucalyptus (vluchtige olie)";"Eucalyptus (huile essentielle)";"Eucalyptus";"vluchtige olie [plantaardig]";;"Eucalyptus";"huile essentielle [végétal]";;true;false
"01383";"Pelargonium sidoides (droog extract, EPs7630)";"Pelargonium sidoides (extrait sec, EPs7630)";"Pelargonium sidoides";"droog extract, EPs7630 wortel [plantaardig]";;"Pelargonium sidoides";"extrait sec, EPs7630 racine [végétal]";;true;false
"01384";"Pelargonium sidoides (vloeibaar extract, EPs7630)";"Pelargonium sidoides (extrait fluide, EPs7630)";"Pelargonium sidoides";"vloeibaar extract, EPs7630 wortel [plantaardig]";;"Pelargonium sidoides";"extrait fluide, EPs7630 racine [végétal]";;true;false
"01427";"pneumokokken, 10 types (polysachariden, geconjugeerd)";"pneumocoques, 10 types (polysaccharides, conjugué)";"pneumokokken, 10 types";"polysachariden, geconjugeerd [bacterieel, biologisch]";;"pneumocoques, 10 types";"polysaccharides, conjugué [bactérien, biologique]";;true;false
"01428";"pneumokokken, 13 types (polysachariden, geconjugeerd)";"pneumocoques, 13 types (polysaccharides, conjugué)";"pneumokokken, 13 types";"polysachariden, geconjugeerd [bacterieel, biologisch]";;"pneumocoques, 13 types";"polysaccharides, conjugué [bactérien, biologique]";;true;false
"02509";"talazoparib";"talazoparib";"talazoparib";;;"talazoparib";;;true;false
"01467";"progesteron (gemicroniseerd)";"progestérone (micronisé)";"progesteron";"gemicroniseerd";;"progestérone";"micronisé";;true;false
"01490";"prothipendyl hydrochloride";"prothipendyl chlorhydrate";"prothipendyl";;"hydrochloride";"prothipendyl";;"chlorhydrate";true;false
"01494";"prucalopride succinaat";"prucalopride succinate";"prucalopride";;"succinaat";"prucalopride";;"succinate";true;false
"01535";"Rhamnus purshianus (droog extract, cascaroside A)";"Rhamnus purshianus (extrait sec, cascaroside A)";"Rhamnus purshianus";"droog extract, cascaroside A bast [plantaardig]";;"Rhamnus purshianus";"extrait sec, cascaroside A écorce [végétal]";;true;false
"00581";"eculizumab";"éculizumab";"eculizumab";"[biologisch, biosynthetisch]";;"éculizumab";"[biologique, biosynthétique]";;true;false
"01568";"Rosmarinus officinalis (droog extract)";"Rosmarinus officinalis (extrait sec)";"Rosmarinus officinalis";"droog extract blad, hydroalcoholisch extract [plantaardig]";;"Rosmarinus officinalis";"extrait sec feuille, extrait hydroalcoolique [végétal]";;true;false
"00833";"Glycine max (droog extract, 27 à 33% isoflavonen)";"Glycine max (extrait sec, 27 à 33% d'isoflavones)";"Glycine max";"droog extract, 27 à 33% isoflavonen Merr [plantaardig]";;"Glycine max";"extrait sec, 27 à 33% d'isoflavones Merr [végétal]";;true;false
"02047";"5-aminolevulinezuur hydrochloride";"acide 5-aminolévulinique chlorhydrate";"5-aminolevulinezuur";;"hydrochloride";"acide 5-aminolévulinique";;"chlorhydrate";true;false
"00060";"allergeenextract van pollen van 5 grassoorten 100 IR";"extrait allergénique de pollen de 5 graminées 100 IR";"allergeenextract van pollen van 5 grassoorten 100 IR";"[biologisch, plantaardig]";;"extrait allergénique de pollen de 5 graminées 100 IR";"[biologique, végétal]";;true;false
"02032";"nintedanib esilaat";"nintédanib ésilate";"nintedanib";;"esilaat";"nintédanib";;"ésilate";true;false
"01422";"placebo";"placebo";"placebo";;;"placebo";;;true;false
