"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"75-2501";"0007922";"JBDA";"Abilify";"02501";false;;;;;0;0;false;false;false;true;false
"33456-513";"0002253";"BBAD";"Idelvion";"00513";false;;;;;0;0;true;false;false;true;false
"23358-1347";"0010629";"KCBBA";"Riamet";"01347";false;;;;;0;0;false;false;false;true;false
"6841-1487";"0002766";"CCBA";"Cynarol";"01487";false;;;;;0;0;false;false;false;true;false
"4960-281";"0020941";"NBCB";"Cernevit";"00281";false;;;;;0;0;false;false;false;true;false
"1511-612";"0009530";"KAAACA";"Amoxicilline EG";"00612";false;;;;;0;0;false;false;false;true;false
"6668-1289";"0002782";"CCCA";"Creon";"01289";false;;;;;0;0;false;false;false;true;false
"2329-612";"0000596";"AEB";"Atenolol EG";"00612";false;;;"B";"B";0;0;false;false;false;true;false
"2352-1818";"0000596";"AEB";"Atenolol Teva";"01818";false;;;"B";"B";0;0;false;false;false;true;false
"33365-1347";"0025684";"ACBA";"Entresto";"01347";false;;;;;0;0;false;false;false;true;false
"26328-1024";"0000125";"AADA";"Tenoretic";"01024";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"33472-257";"8900649";"MBBFA";"Tagrisso";"00257";false;;;;;0;0;false;false;false;true;false
"16766-1289";"0009340";"JJA";"Mestinon";"01289";false;;;;;0;0;false;false;false;true;false
"2337-1289";"0000596";"AEB";"Atenolol Viatris";"01289";false;;;"B";"B";0;0;false;false;false;true;false
"2451-1818";"0001552";"ALAA";"Atorvastatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"2436-1636";"0001552";"ALAA";"Atorvastatin Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"2295-612";"0000125";"AADA";"Atenolol / Chloortalidone EG";"00612";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"15396-1289";"0001552";"ALAA";"Lipitor";"01289";false;;;;;0;0;false;false;false;true;false
"27094-1289";"0001552";"ALAA";"Totalip";"01289";false;;;;;0;0;false;false;false;true;false
"28209-1933";"0018085";"JADB";"Valdispert Sleep";"01933";false;;;;;0;0;false;false;false;true;false
"29322-828";"8902009";"KCDA";"Wellvone";"00828";false;;;;;0;0;false;false;false;true;false
"27185-232";"0019133";"RACA";"Tracrium";"00232";false;;;;;0;0;false;false;false;true;false
"2527-1784";"0001297";"AHDAA";"Atropine Sulfate Sterop";"01784";false;;;;;0;0;false;false;false;true;false
"12930-232";"0012021";"LCABA";"Imuran";"00232";false;;;;;0;0;false;false;false;true;false
"24745-299";"0014498";"OFCA";"Skinoren";"00299";false;;;;;0;0;false;false;false;true;false
"2774-1636";"0009837";"KABBA";"Azithromycine Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"24240-1073";"0025189";"JEAC";"Selincro";"01073";false;;;;;0;0;false;false;false;true;false
"21956-935";"0011072";"KDCBB";"Prezista";"00935";false;;;;;0;0;false;false;false;true;false
"33555-935";"0007955";"JBDF";"Trevicta";"00935";false;;;;;0;0;false;false;false;true;false
"17442-745";"0020347";"OGA";"Mirvaso";"00745";false;;;;;0;0;false;false;false;true;false
"2758-612";"0009837";"KABBA";"Azithromycine EG";"00612";false;;;;;0;0;false;false;false;true;false
"2659-406";"0009787";"KAADA";"Azactam";"00406";false;;;;;0;0;false;false;false;true;false
"18598-2162";"0015099";"PABE";"Neobacitracine";"02162";false;;;;;0;0;false;false;false;true;false
"15321-1347";"0009092";"JHA";"Lioresal";"01347";false;;;;;0;0;false;false;false;true;false
"2816-117";"0009092";"JHA";"Baclofen Aguettant";"00117";false;;;;;0;0;false;false;false;true;false
"17053-836";"0016279";"SABA";"Micropaque";"00836";false;;;;;0;0;false;false;false;true;false
"2782-1818";"0009837";"KABBA";"Azithromycine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"33514-1701";"0025809";"AADC";"Bipressil";"01701";false;;;"B";"B";0;0;false;false;false;true;false
"30106-1446";"0009837";"KABBA";"Zitromax";"01446";false;;;;;0;0;false;false;false;true;false
"18572-1743";"0016030";"QDBA";"Neo-Golaseptine";"01743";false;;;;;0;0;false;false;false;true;false
"20685-1438";"0014431";"OFAA";"Pangel";"01438";false;;;;;0;0;false;false;false;true;false
"331-2006";"8903080";"OFEA";"Acneplus";"02006";false;;;;;0;0;false;false;false;true;false
"3566-1446";"8901001";"MBBBA";"Bosulif";"01446";false;;;;;0;0;false;false;false;true;false
"5777-455";"0003400";"CGAA";"Clipper";"00455";false;;;"C";"C";0;0;false;false;false;true;false
"3277-612";"0004820";"MEDC";"Bicalutamide EG";"00612";false;;;;;0;0;false;false;false;true;false
"3285-1636";"0004820";"MEDC";"Bicalutamide Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"4192-299";"0014076";"OACC";"Canestene Derm";"00299";false;;;;;0;0;false;false;false;true;false
"19265-59";"0011114";"KDCBE";"Norvir";"00059";false;;;;;0;0;false;false;false;true;false
"33571-2303";"0009373";"JKAA";"Donepezil Krka";"02303";false;;;;;0;0;false;false;false;true;false
"24588-1347";"0012047";"LCACA";"Simulect";"01347";false;;;;;0;0;false;false;false;true;false
"4622-1602";"0013862";"OAAA";"Cedium Benzalkonium";"01602";false;;;;;0;0;false;false;false;true;false
"8409-3624";"0003210";"CEDBA";"Dulcolax Bisacodyl";"03624";false;;;;;0;0;false;false;false;true;false
"15586-1180";"0000125";"AADA";"Lodoz";"01180";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"3442-1818";"0000612";"AEC";"Bisoprolol Teva";"01818";false;;;"B";"B";0;0;false;false;false;true;false
"5926-612";"0000125";"AADA";"Co-Bisoprolol EG";"00612";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"3434-1636";"0000612";"AEC";"Bisoprolol Sandoz";"01636";false;;;"B";"B";0;0;false;false;false;true;false
"5934-1289";"0000125";"AADA";"Co-Bisoprolol Viatris";"01289";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"5942-1636";"0000125";"AADA";"Co-Bisoprolol Sandoz";"01636";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"18200-2162";"0006171";"GACA";"Myocholine-Glenwood";"02162";false;;;;;0;0;false;false;false;true;false
"8961-1180";"0000125";"AADA";"Emcoretic";"01180";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"3376-612";"0003210";"CEDBA";"Bisacodyl EG";"00612";false;;;;;0;0;false;false;false;true;false
"22426-257";"0003756";"DADBA";"Pulmicort";"00257";false;;;"c";"c";0;0;false;false;false;true;false
"3855-1636";"0003756";"DADBA";"Budesonid Sandoz";"01636";false;;;"c";"c";0;0;false;false;false;true;false
"31682-2014";"0013417";"IEAB";"D-Vital";"02014";false;;;;;0;0;false;false;false;true;false
"6353-59";"0025973";"PDFA";"Combigan";"00059";false;;;"B";"B";0;0;false;false;false;true;false
"3574-59";"0009100";"JHD";"Botox";"00059";false;;;;;0;0;false;false;false;true;false
"3483-1206";"0009100";"JHD";"Bocouture";"01206";false;;;;;0;0;false;false;false;true;false
"29074-59";"0009100";"JHD";"Vistabel";"00059";false;;;;;0;0;false;false;false;true;false
"14845-372";"0007500";"JAAC";"Lendormin";"00372";false;;;;;0;0;false;false;false;true;false
"3715-612";"0004036";"DBBBA";"Bromhexine EG";"00612";false;;;;;0;0;false;false;false;true;false
"16261-232";"0016147";"RBC";"Marcaine";"00232";false;;;;;0;0;false;false;false;true;false
"25379-2600";"0019000";"JECD";"Suboxone";"02600";false;;;"N";"N";0;0;false;true;false;true;false
"18184-232";"0012583";"MAAAA";"Myleran";"00232";false;;;;;0;0;false;false;false;true;false
"11619-711";"0012864";"MABCF";"Gemcitabine Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"3897-3319";"0000455";"ADABA";"Burinex";"03319";false;;;"D";"D";0;0;false;false;false;true;false
"33704-1800";"0026179";"JDB";"Intuniv";"01800";true;;;;;0;0;false;false;false;true;false
"19331-1289";"0003715";"DADAB";"Novolizer Budesonide";"01289";false;;;"c";"c";0;0;false;false;false;true;false
"877-1818";"0007260";"IEBA";"Alendronate Teva";"01818";false;;;;;0;0;false;false;false;true;false
"7955-2485";"0013177";"MAEBB";"Docetaxel AB";"02485";false;;;;;0;0;false;false;false;true;false
"26252-596";"0006635";"HCAA";"Temgesic";"00596";false;;;"N";"N";0;0;false;true;false;true;false
"3954-1818";"0006023";"FHA";"Cabergoline Teva";"01818";false;;;;;0;0;false;false;false;true;false
"3392-3624";"0004036";"DBBBA";"Bisolvon Toux grasse";"03624";false;;;;;0;0;false;false;false;true;false
"8268-1446";"0006023";"FHA";"Dostinex";"01446";false;;;;;0;0;false;false;false;true;false
"24653-4150";"0003970";"DBAF";"Therafixx-Tusso";"04150";false;;;;;0;0;false;false;false;true;false
"3830-539";"0003392";"CGAB";"Budenofalk";"00539";false;;;"C";"C";0;0;false;false;false;true;false
"33506-3236";"0016485";"TCA";"Ammonaps";"03236";false;;;;;0;0;false;false;false;true;false
"33753-2303";"0000729";"AFAA";"Amlodipine Krka";"02303";false;;;;;0;0;false;false;false;true;false
"23614-1024";"0013698";"NBABC";"Rocaltrol";"01024";false;;;;;0;0;false;false;false;true;false
"17335-125";"0015552";"PHA";"Miostat";"00125";false;;;;;0;0;false;false;false;true;false
"33738-1701";"0025627";"APA";"Lipertance";"01701";false;;;;;0;0;false;false;false;true;false
"7161-1735";"0013680";"NBABB";"Dedrogyl";"01735";false;;;;;0;0;false;false;false;true;false
"33720-794";"0026161";"KDEF";"Epclusa";"00794";false;;;;;0;0;false;false;false;true;false
"29496-604";"0019794";"MABCB";"Xeloda";"00604";false;;;;;0;0;false;false;false;true;false
"8284-1040";"0014605";"OHCA";"Dovobet";"01040";false;;;"c";"c";0;0;false;false;false;true;false
"29439-1040";"0014605";"OHCA";"Xamiol";"01040";false;;;"c";"c";0;0;false;false;false;true;false
"4135-612";"0001008";"AGBA";"Candesartan EG";"00612";false;;;;;0;0;false;false;false;true;false
"4150-612";"0000166";"AADF";"Candesartan Plus HCT EG";"00612";false;;;"D";"D";0;0;false;false;false;true;false
"4168-1636";"0001008";"AGBA";"Candesartan Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"4176-1818";"0001008";"AGBA";"Candesartan Teva";"01818";false;;;;;0;0;false;false;false;true;false
"6007-1818";"0000166";"AADF";"Co-Candesartan Teva";"01818";false;;;"D";"D";0;0;false;false;false;true;false
"24935-1446";"0006023";"FHA";"Sostilar";"01446";false;;;;;0;0;false;false;false;true;false
"4317-612";"0000901";"AGAA";"Captopril EG";"00612";false;;;;;0;0;false;false;false;true;false
"26096-1347";"0008821";"JGBAA";"Tegretol";"01347";false;;;;;0;0;false;false;false;true;false
"33746-794";"0011049";"KDCADA";"Odefsey";"00794";false;;;;;0;0;false;false;false;true;false
"33787-2303";"8901001";"MBBBA";"Imatinib Krka";"02303";false;;;;;0;0;false;false;false;true;false
"33803-2303";"0017954";"HCBE";"Tramadol / Paracetamol Krka";"02303";false;;;"N";"N";0;0;false;false;false;true;false
"15404-273";"0026013";"PFA";"Liposic";"00273";false;;;;;0;0;false;false;false;true;false
"28894-273";"0026013";"PFA";"Vidisic";"00273";false;;;;;0;0;false;false;false;true;false
"14332-273";"0026013";"PFA";"Lacrinorm";"00273";false;;;;;0;0;false;false;false;true;false
"26633-125";"0026013";"PFA";"Thilo-Tears";"00125";false;;;;;0;0;false;false;false;true;false
"4416-67";"0012625";"MAACA";"Carboplatin Accord Healthcare";"00067";false;;;;;0;0;false;false;false;true;false
"4465-1818";"0012625";"MAACA";"Carbosin";"01818";false;;;;;0;0;false;false;false;true;false
"4440-844";"0012625";"MAACA";"Carboplatine Hospira";"00844";false;;;;;0;0;false;false;false;true;false
"7724-1446";"0010462";"KBCA";"Diflucan";"01446";false;;;;;0;0;false;false;false;true;false
"33837-1347";"8900664";"MBBHA";"Mekinist";"01347";false;;;;;0;0;false;false;false;true;false
"4549-1636";"0000620";"AED";"Carvedilol Sandoz";"01636";false;;;"B";"B";0;0;false;false;false;true;false
"33894-612";"0012526";"LDAAI";"Rupatadine EG";"00612";false;;;;;0;0;false;false;false;true;false
"33902-1602";"0013946";"OAAM";"Hospaq";"01602";false;;;;;0;0;false;false;false;true;false
"4523-612";"0000620";"AED";"Carvedilol EG";"00612";false;;;"B";"B";0;0;false;false;false;true;false
"33845-2303";"0000141";"AADD";"Ramipril / HCTZ Krka";"02303";false;;;"D";"D";0;0;false;false;false;true;false
"33852-2303";"0000976";"AGAH";"Ramipril Krka";"02303";false;;;;;0;0;false;false;false;true;false
"24729-1164";"0004010";"DBBAB";"Siroxyl";"01164";false;;;;;0;0;false;false;false;true;false
"33860-1818";"0001040";"AGBE";"Olmesartan Teva";"01818";false;;;;;0;0;false;false;false;true;false
"16279-232";"0016147";"RBC";"Marcaine avec Adrenaline";"00232";false;;;"d";"d";0;0;false;false;false;true;false
"11593-2485";"0012864";"MABCF";"Gemcitabine AB";"02485";false;;;;;0;0;false;false;false;true;false
"33910-828";"0026260";"LABEA";"Bexsero";"00828";false;;;;;0;0;false;false;false;true;false
"33886-67";"0010512";"KBCF";"Voriconazole Accord";"00067";false;;;;;0;0;false;false;false;true;false
"33951-2303";"0000166";"AADF";"Olmesartan / HCTZ Krka";"02303";false;;;"D";"D";0;0;false;false;false;true;false
"33969-612";"0000166";"AADF";"Olmesartan Plus HCT EG";"00612";false;;;"D";"D";0;0;false;false;false;true;false
"33936-1628";"8900664";"MBBHA";"Cotellic";"01628";false;;;;;0;0;false;false;false;true;false
"14282-604";"0000620";"AED";"Kredex";"00604";false;;;"B";"B";0;0;false;false;false;true;false
"33761-67";"8901001";"MBBBA";"Imatinib Accord";"00067";false;;;;;0;0;false;false;false;true;false
"34009-612";"0001040";"AGBE";"Olmesartan EG";"00612";false;;;;;0;0;false;false;false;true;false
"34017-2303";"0001040";"AGBE";"Olmesartan Krka";"02303";false;;;;;0;0;false;false;false;true;false
"34025-1636";"0001040";"AGBE";"Olmesartan Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"34033-2303";"0001875";"BAABAA";"Clopidogrel Krka";"02303";false;;;;;0;0;false;false;false;true;false
"34074-67";"0013052";"MADAA";"Irinotecan Accord";"00067";false;;;;;0;0;false;false;false;true;false
"34116-935";"0026286";"AME";"Uptravi";"00935";false;;;;;0;0;false;false;false;true;false
"34124-570";"0026294";"LCBBGC";"Taltz";"00570";false;;;;;0;0;false;false;false;true;false
"24547-1818";"0017327";"AMF";"Sildenafil Teva";"01818";false;;;;;0;0;false;false;false;true;false
"34157-661";"0017673";"EEBA";"Nocdurna";"00661";false;;;"M";"M";0;0;false;false;false;true;false
"34173-3103";"0005355";"FBAAC";"Gaelle 30";"03103";false;;;;;0;0;false;false;false;true;false
"34181-1818";"0006676";"HCAH";"Oxycodone Teva";"01818";false;;;"N";"N";0;0;false;false;true;true;false
"34165-3103";"0005355";"FBAAC";"Gaelle 20";"03103";false;;;;;0;0;false;false;false;true;false
"10512-2485";"0009498";"KAAABA";"Floxapen";"02485";false;;;;;0;0;false;false;false;true;false
"27367-2360";"0018671";"TDA";"Traumeel";"02360";false;;;;;0;0;false;false;false;true;false
"10504-828";"0002139";"BAADA";"Flolan";"00828";false;;;;;0;0;true;false;false;true;false
"19406-1354";"0004192";"EAAAA";"NovoRapid";"01354";false;;;"H";"H";0;0;false;false;false;true;false
"33977-1883";"0026252";"CECCB";"Eziclen";"01883";false;;;;;0;0;false;false;false;true;false
"4127-1263";"8901993";"KBBB";"Cancidas";"01263";false;;;;;0;0;false;false;false;true;false
"13938-1784";"0016832";"NADA";"Kali-Sterop";"01784";false;;;;;0;0;false;false;false;true;false
"19562-1370";"0002246";"BBAA";"Octanate";"01370";false;;;;;0;0;false;false;false;true;false
"34728-265";"0016832";"NADA";"KCl B. Braun";"00265";false;;;;;0;0;false;false;false;true;false
"4671-1636";"0009613";"KAABAA";"Cefadroxil Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"4697-1636";"0009639";"KAABAC";"Cefazoline Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"4747-711";"0009712";"KAABCB";"Ceftazidim Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"23739-711";"0016147";"RBC";"Ropivacaine Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"37341-1701";"0012914";"MABDA";"Lonsurf";"01701";false;;;;;0;0;false;false;false;true;false
"37374-1792";"0002253";"BBAD";"Alprolix";"01792";false;;;;;0;0;true;false;false;true;false
"21030-885";"0008201";"JCAAE";"Paroxetine Sandoz";"00885";false;;;;;0;0;false;false;false;true;false
"37366-612";"0018531";"PDDD";"Travoprost EG";"00612";false;;;;;0;0;false;false;false;true;false
"6528-1818";"0000141";"AADD";"Coperindo";"01818";false;;;"D";"D";0;0;false;false;false;true;false
"37416-1818";"0008573";"JFBC";"Pramipexole Teva";"01818";false;;;;;0;0;false;false;false;true;false
"37887-398";"0016246";"SAACA";"Iomeron";"00398";false;;;;;0;0;false;false;false;true;false
"37424-67";"0026450";"MAADE";"Tepadina";"00067";false;;;;;0;0;false;false;false;true;false
"38893-1289";"0011049";"KDCADA";"Efavirenz / Emtricitabine / Tenofovir disoproxil Mylan";"01289";false;;;;;0;0;false;false;false;true;false
"37895-752";"0016246";"SAACA";"Omnipaque";"00752";false;;;;;0;0;false;false;false;true;false
"37929-299";"0016246";"SAACA";"Ultravist";"00299";false;;;;;0;0;false;false;false;true;false
"12799-1347";"0018804";"LCBBAB";"Ilaris";"01347";false;;;;;0;0;false;false;false;true;false
"37945-752";"0016253";"SAACB";"Visipaque";"00752";false;;;;;0;0;false;false;false;true;false
"8276-836";"0016303";"SBAA";"Dotarem";"00836";false;;;;;0;0;false;false;false;true;false
"42184-1784";"8901092";"TABBA";"Thiosulfate de Sodium Sterop";"01784";false;;;;;0;0;false;false;false;true;false
"9886-1347";"0016444";"TACBA";"Exjade";"01347";true;;;;;0;0;false;false;false;true;false
"32532-3269";"8902215";"MCAB";"Opdivo";"03269";false;;;;;0;0;false;false;false;true;false
"37572-2303";"0006999";"IAADB";"Etoricoxib Krka";"02303";false;;;;;0;0;false;false;false;true;false
"37911-836";"0016246";"SAACA";"Optiray";"00836";false;;;;;0;0;false;false;false;true;false
"37739-406";"0013201";"MBAA";"Empliciti";"00406";false;;;;;0;0;false;false;false;true;false
"21220-1180";"0026146";"FEBH";"Pergoveris";"01180";false;;;"Hman";"Hman";0;0;false;false;false;true;false
"37796-2097";"0011338";"LAAFA";"Avaxim";"02097";false;;;;;0;0;false;false;false;true;false
"23820-2923";"0012526";"LDAAI";"Rupatall";"02923";false;;;;;0;0;false;false;false;true;false
"37648-2303";"0000158";"AADE";"Enalapril / Lercanidipine Krka";"02303";false;;;;;0;0;false;false;false;true;false
"37713-612";"0016014";"QDAA";"Flurbiprofen EG";"00612";false;;;;;0;0;false;false;false;true;false
"37721-612";"0015891";"QCBBD";"Xylomaris";"00612";false;;;;;0;0;false;false;false;true;false
"37853-1800";"8900748";"MBDA";"Ninlaro";"01800";true;;;;;0;0;true;false;false;true;false
"7252-1446";"0004986";"EDFA";"Depo-Medrol + Lidocaine";"01446";false;;;"C";"C";0;0;false;false;false;true;false
"23226-1552";"0013771";"NBDA";"Revitalose C 1000";"01552";false;;;;;0;0;false;false;false;true;false
"37879-273";"0015552";"PHA";"Ximaract";"00273";false;;;;;0;0;false;false;false;true;false
"37804-3103";"0005363";"FBAAD";"Annaïs 20";"03103";false;;;;;0;0;false;false;false;true;false
"37812-3103";"0005363";"FBAAD";"Annaïs 30";"03103";false;;;;;0;0;false;false;false;true;false
"38000-554";"0018143";"JMA";"Teglutik";"00554";false;;;;;0;0;false;false;false;true;false
"38026-554";"0005637";"FCACA";"Blissel";"00554";false;;;;;0;0;false;false;false;true;false
"9134-323";"0003343";"CFBA";"Enterol";"00323";false;;;;;0;0;false;false;false;true;false
"21949-1446";"0021295";"LABFB";"Prevenar 13";"01446";false;;;;;0;0;false;false;false;true;false
"38042-612";"0001586";"ALAC";"Rosuvastatine EG";"00612";false;;;;;0;0;false;false;false;true;false
"38059-1636";"0019448";"GCAC";"Tadalafil Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"38034-1818";"0019448";"GCAC";"Tadalafil Teva";"01818";false;;;;;0;0;false;false;false;true;false
"38125-2949";"0018671";"TDA";"2Lveru";"02949";false;;;;;0;0;false;false;false;true;false
"38133-2949";"0018671";"TDA";"2Lpapi";"02949";false;;;;;0;0;false;false;false;true;false
"38141-3103";"0005702";"FCBAA";"Laclimella";"03103";false;;;;;0;0;false;false;false;true;false
"38174-612";"0025981";"PDFB";"Travoprost / Timolol EG";"00612";false;;;"B";"B";0;0;false;false;false;true;false
"37986-570";"0028407";"LCBEAAB";"Olumiant";"00570";false;;;;;0;0;false;false;false;true;false
"37747-1636";"0020289";"JGBCA";"Pregabaline Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"37937-836";"0016246";"SAACA";"Xenetix";"00836";false;;;;;0;0;false;false;false;true;false
"38075-1289";"0019448";"GCAC";"Tadalafil Mylan";"01289";false;;;;;0;0;false;false;false;true;false
"38224-1818";"0001586";"ALAC";"Rosuvastatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"38265-3103";"0005348";"FBAAB";"Noranelle 30/150";"03103";false;;;;;0;0;false;false;false;true;false
"38273-2923";"0028522";"JDG";"Wakix";"02923";true;;;;;0;0;true;false;false;true;false
"38323-1354";"0004192";"EAAAA";"Fiasp";"01354";false;;;"H";"H";0;0;false;false;false;true;false
"38331-3640";"0001586";"ALAC";"Rosuvastatin HCS";"03640";false;;;;;0;0;false;false;false;true;false
"18796-299";"8900706";"MBBKA";"Nexavar";"00299";false;;;;;0;0;true;false;false;true;false
"38596-612";"0001743";"ALIA";"Ezetimibe / Simvastatine EG";"00612";false;;;;;0;0;false;false;false;true;false
"38307-1289";"0001586";"ALAC";"Rosuvastatine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"38455-1800";"0002253";"BBAD";"Rixubis";"01800";false;;;;;0;0;false;false;false;true;false
