"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"1085877";"00778";"1";"KDAC";"0010777";"11114-463";"Foscavir 24 mg/1 ml sol. perf. à diluer/sol. perf. i.v. [flac.] 1x 6g/250ml";0;"sol. perf. à diluer/sol. perf. i.v. [flac.]";1;"foscarnet trisodium";;;6.0000;"g";"/";250.0000;"ml";0.0000;;true;false
"2480325";"01990";"1";"ONAA";"0014738";"6734-2238";"Curasorb pansement Plus 10x (10x14cm)";0;"pansement Plus";1;"pas de principes actifs";"10 x 14 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1777127";"01615";"1";"ALAD";"0001594";"24620-1289";"Simvastatine Viatris compr. pellic. (séc.) 84x 20mg";0;"compr. pellic. (séc.)";1;"simvastatine";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"2363596";"01808";"1";"JGAAA";"0008730";"28258-1289";"Valproate Viatris sol. inj./perf. i.v. [amp.] 5x 300mg/3ml";0;"sol. inj./perf. i.v. [amp.]";1;"valproate sodium";;;300.0000;"mg";"/";3.0000;"ml";0.0000;;true;false
"1226125";"00662";"1";"MADBA";"0013094";"9308-1818";"Eposin sol. perf. à diluer i.v. [flac.] 1x 100mg/5ml";0;"sol. perf. à diluer i.v. [flac.]";1;"étoposide";;;100.0000;"mg";"/";5.0000;"ml";0.0000;;true;false
"1232198";"00662";"1";"MADBA";"0013094";"9308-1818";"Eposin sol. perf. à diluer i.v. [flac.] 1x 500mg/25ml";0;"sol. perf. à diluer i.v. [flac.]";1;"étoposide";;;500.0000;"mg";"/";25.0000;"ml";0.0000;;true;false
"1350677";"01990";"1";"ONGA";"0014852";"4382-2253";"Carboflex pansement 5x (15x20cm)";0;"pansement";1;"pas de principes actifs";"15 x 20 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1544477";"01990";"1";"ONAA";"0014738";"25528-2295";"Suprasorb A mèche 5x (2x30cm)";0;"mèche";1;"pas de principes actifs";"2 x 30 cm";;0.0000;;;0.0000;;0.0000;;true;false
"1629559";"01990";"1";"ONBA";"0014753";"12500-2279";"Hydrocoll pansement 5x (15x15cm)";0;"pansement";1;"pas de principes actifs";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2116572";"01990";"1";"ONBA";"0014753";"8425-2253";"Duoderm pansement Extra mince 10x (9x25cm)";0;"pansement Extra mince";1;"pas de principes actifs";"9 x 25 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2304863";"01990";"1";"ONAA";"0014738";"26054-2287";"Tegaderm Alginate pansement 10x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3641040";"01570";"1";"ALAC";"0001586";"38307-1289";"Rosuvastatine Viatris compr. pellic. 98x 10mg";0;"compr. pellic.";1;"rosuvastatine";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"3641065";"01570";"1";"ALAC";"0001586";"38307-1289";"Rosuvastatine Viatris compr. pellic. 98x 20mg";0;"compr. pellic.";1;"rosuvastatine";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"1446764";"01834";"1";"MAEAB";"0013136";"28936-1818";"Vincrisin sol. inj./perf. i.v. [flac.] 1x 1mg/1ml";0;"sol. inj./perf. i.v. [flac.]";1;"vincristine sulfate";;;1.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"2970754";"01990";"1";"ONFA";"0014837";"32847-2477";"Spycra Protect pansement 3x (18x30cm)";0;"pansement";1;"pas de principes actifs";"18 x 30 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2970762";"01990";"1";"ONFA";"0014837";"32847-2477";"Spycra Protect pansement 1x (5x150cm)";0;"pansement";1;"pas de principes actifs";"5 x 150 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2357051";"00115";"1";"BABBEA";"0002196";"1842-1800";"Concentré d’Antithrombine III Baxalta sol. inj./perf. (pdr+solv.) i.v. [2x flac.] 1x 500UI";0;"sol. inj./perf. (pdr + solv.) i.v. [2x flac.]";1;"antithrombine";;;500.0000;"UI";;0.0000;;0.0000;;true;false
"2251767";"01661";"1";"DCBA";"0004143";"6759-455";"Curosurf susp. instill. endotrach. 1x 120mg/1,5ml";0;"susp. instill. endotrach.";1;"surfactant (origine porcine)";;;120.0000;"mg";"/";1.5000;"ml";0.0000;;true;false
"2511830";"00550";"1";"CDAB";"0002857";"17814-885";"Motilium (Impexeco) compr. pellic. 30x 10mg";0;"compr. pellic.";1;"dompéridone";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"2562387";"01561";"1";"RACD";"0019166";"9464-1263";"Esmeron sol. inj./perf. i.v. [amp.] 10x 50mg/5ml";0;"sol. inj./perf. i.v. [amp.]";1;"rocuronium bromure";;;50.0000;"mg";"/";5.0000;"ml";0.0000;;true;false
"3391232";"01363";"1";"HBAA";"0006437";"6973-885";"Dafalgan (Impexeco) compr. pellic. (séc.) Forte 16x 1g";0;"compr. pellic. (séc.) Forte";1;"paracétamol";;;1.0000;"g";;0.0000;;0.0000;;true;false
"3641081";"01570";"1";"ALAC";"0001586";"38307-1289";"Rosuvastatine Viatris compr. pellic. 98x 40mg";0;"compr. pellic.";1;"rosuvastatine";;;40.0000;"mg";;0.0000;;0.0000;;true;false
"3677853";"01570";"1";"ALAC";"0001586";"38307-1289";"Rosuvastatine Viatris compr. pellic. 98x 5mg";0;"compr. pellic.";1;"rosuvastatine";;;5.0000;"mg";;0.0000;;0.0000;;true;false
"2618478";"02097";"1";"AFAE";"0000778";"29850-1529";"Zanidip (PI-Pharma) compr. pellic. (séc.) 56x 10mg";0;"compr. pellic. (séc.)";1;"lercanidipine chlorhydrate";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"2680189";"01945";"1";"LACIA";"0018499";"3764-1529";"Broncho-Vaxom (PI-Pharma) gél. Adulte 30x";0;"gél. Adulte";1;"lysat bactérien (H. influenzae, D. pneumoniae, K. pneumoniae, K. ozaenae, S. aureus, S. pyogenes, S. viridans, N. catarrhalis)";;;0.0000;;;0.0000;;0.0000;;true;false
"2675775";"01056";"1";"AGAE";"0000943";"15420-1529";"Lisinopril EG (PI-Pharma) compr. (séc. en 4) 98x 20mg";0;"compr. (séc. en 4)";1;"lisinopril";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"2707446";"00208";"1";"MEDC";"0004820";"4564-1529";"Casodex (PI-Pharma) compr. pellic. 28x 150mg";0;"compr. pellic.";1;"bicalutamide";;;150.0000;"mg";;0.0000;;0.0000;;true;false
"2604759";"00577";"1";"GBBA";"0006247";"2634-1529";"Avodart (PI-Pharma) caps. molle 30x 0,5mg";0;"caps. molle";1;"dutastéride";;;0.5000;"mg";;0.0000;;0.0000;;true;false
"2828663";"02085";"1";"FCBAA";"0005702";"10090-885";"Femoston (Impexeco) 1/5 compr. pellic. Conti 3x28";0;"compr. pellic. Conti";1;"estradiol";;;1.0000;"mg";;0.0000;;0.0000;;true;false
"2828663";"00578";"1";"FCBAA";"0005702";"10090-885";"Femoston (Impexeco) 1/5 compr. pellic. Conti 3x28";0;"compr. pellic. Conti";2;"dydrogestérone";;;5.0000;"mg";;0.0000;;0.0000;;true;false
"0065979";"00191";"1";"KAAAAA";"8902454";"21113-968";"Penicilline sol. inj./perf. (pdr) i.m./i.v./i.artic./i.burs. [flac.] 100x 5MMUI";0;"sol. inj./perf. (pdr) i.m./i.v./i.artic./i.burs. [flac.]";1;"benzylpénicilline sodium";;;5000000.0000;"UI";;0.0000;;0.0000;;true;false
"3872165";"01621";"1";"GAAG";"0006122";"40816-1289";"Solifenacine Viatris compr. pellic. 90x 5mg";0;"compr. pellic.";1;"solifénacine succinate";;;5.0000;"mg";;0.0000;;0.0000;;true;false
"3872157";"01621";"1";"GAAG";"0006122";"40816-1289";"Solifenacine Viatris compr. pellic. 30x 10mg";0;"compr. pellic.";1;"solifénacine succinate";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"3210309";"01990";"1";"ONFA";"0014837";"32482-2295";"Lomatuell Pro pansement 50x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2678605";"01397";"1";"AGAF";"0000950";"6619-1529";"Coversyl (PI-Pharma) compr. pellic. 60x 10mg";0;"compr. pellic.";1;"périndopril arginine";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"2638591";"00512";"1";"IABAA";"0007054";"39461-1529";"Voltaren Emulgel (PI-Pharma) 1 % gel transderm. local 50g 10mg/1g";0;"gel transderm. local";1;"diclofénac sodium (sous forme de diclofénac diéthylamine)";;;10.0000;"mg";"/";1.0000;"g";0.0000;;true;false
"2479970";"01990";"1";"ONEA";"0014811";"6494-2238";"Copa pansement Plus 10x (10x10cm)";0;"pansement Plus";1;"pas de principes actifs";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2764876";"01478";"1";"RAAD";"0019117";"22194-265";"Propofol B. Braun 1 % émuls. inj./perf. i.v. [amp.] 5x 200mg/20ml";0;"émuls. inj./perf. i.v. [amp.]";1;"propofol";;;200.0000;"mg";"/";20.0000;"ml";0.0000;;true;false
"2926590";"00094";"1";"AFAA";"0000729";"1412-885";"Amlodipin Sandoz (Impexeco) compr. (séc.) Besilaat 100x 10mg";0;"compr. (séc.) Besilaat";1;"amlodipine";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"3978335";"01621";"1";"GAAG";"0006122";"40816-1289";"Solifenacine Viatris compr. pellic. 200x 5mg";0;"compr. pellic.";1;"solifénacine succinate";;;5.0000;"mg";;0.0000;;0.0000;;true;false
"3078227";"00120";"1";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 2ml (1ml+1ml)";1;"colle (sol.) [ser. préremplie]";1;"aprotinine";;;3000.0000;"UIK";"/";1.0000;"ml";0.0000;;true;false
"3078227";"00714";"1";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 2ml (1ml+1ml)";1;"colle (sol.) [ser. préremplie]";2;"fibrinogène";;;72.0000;"mg";"/";1.0000;"ml";110.0000;"mg";true;false
"3078227";"00679";"1";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 2ml (1ml+1ml)";1;"colle (sol.) [ser. préremplie]";3;"facteur XIII";;;0.6000;"UI";"/";1.0000;"ml";10.0000;"UI";true;false
"3078227";"02075";"2";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 2ml (1ml+1ml)";1;"colle (sol.) [ser. préremplie]";1;"calcium chlorure";;;4.4400;"mg";"/";1.0000;"ml";0.0000;;true;false
"3078227";"01789";"2";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 2ml (1ml+1ml)";1;"colle (sol.) [ser. préremplie]";2;"thrombine";;;500.0000;"UI";"/";1.0000;"ml";0.0000;;true;false
"3078235";"00120";"1";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 4ml (2ml+2ml)";2;"colle (sol.) [ser. préremplie]";1;"aprotinine";;;3000.0000;"UIK";"/";1.0000;"ml";0.0000;;true;false
"3078235";"00714";"1";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 4ml (2ml+2ml)";2;"colle (sol.) [ser. préremplie]";2;"fibrinogène";;;72.0000;"mg";"/";1.0000;"ml";110.0000;"mg";true;false
"3078235";"00679";"1";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 4ml (2ml+2ml)";2;"colle (sol.) [ser. préremplie]";3;"facteur XIII";;;0.6000;"UI";"/";1.0000;"ml";10.0000;"UI";true;false
"3078235";"02075";"2";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 4ml (2ml+2ml)";2;"colle (sol.) [ser. préremplie]";1;"calcium chlorure";;;4.4400;"mg";"/";1.0000;"ml";0.0000;;true;false
"3078235";"01789";"2";"BBDA";"0002394";"26872-281";"Tisseel S/D colle (sol.) [ser. préremplie] 4ml (2ml+2ml)";2;"colle (sol.) [ser. préremplie]";2;"thrombine";;;500.0000;"UI";"/";1.0000;"ml";0.0000;;true;false
"2904613";"01078";"1";"CECBB";"0025007";"11015-1529";"Forlax (PI-Pharma) sol. (pdr, sachet) 20x 10g";0;"sol. (pdr, sachet)";1;"macrogol 4.000";;;10.0000;"g";;0.0000;;0.0000;;true;false
"3978327";"01621";"1";"GAAG";"0006122";"40816-1289";"Solifenacine Viatris compr. pellic. 200x 10mg";0;"compr. pellic.";1;"solifénacine succinate";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"4635991";"01301";"1";"EEEB";"0017707";"23986-3269";"Sandostatine (Abacus) susp. inj. lib. prol. (pdr+solv.) i.m. L.A.R. [flac.+ser. préremplie] 1x 20mg";0;"susp. inj. lib. prol. (pdr + solv.) i.m. L.A.R. [flac. + ser. préremplie]";1;"octréotide";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"4636007";"01301";"1";"EEEB";"0017707";"23986-3269";"Sandostatine (Abacus) susp. inj. lib. prol. (pdr+solv.) i.m. L.A.R. [flac.+ser. préremplie] 1x 30mg";0;"susp. inj. lib. prol. (pdr + solv.) i.m. L.A.R. [flac. + ser. préremplie]";1;"octréotide";;;30.0000;"mg";;0.0000;;0.0000;;true;false
"3364072";"01615";"1";"ALAD";"0001594";"24596-885";"Simvastatin Sandoz (Impexeco) compr. pellic. (séc.) 100x 20mg";0;"compr. pellic. (séc.)";1;"simvastatine";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"0681254";"01990";"1";"ONBA";"0014753";"8433-2253";"Duoderm E pansement 3x (15x15cm)";0;"pansement";1;"pas de principes actifs";"15 x 15 cm";;0.0000;;;0.0000;;0.0000;;true;false
"0104950";"00626";"1";"JIABA";"8900995";"4010-182";"Cafergot 1/100 compr. (séc.) 20x";0;"compr. (séc.)";1;"ergotamine tartrate";;;1.0000;"mg";;0.0000;;0.0000;;true;false
"0104950";"00432";"1";"JIABA";"8900995";"4010-182";"Cafergot 1/100 compr. (séc.) 20x";0;"compr. (séc.)";2;"caféine";;;100.0000;"mg";;0.0000;;0.0000;;true;false
"1516376";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus pansement Contour 5x (6x8cm)";0;"pansement Contour";1;"pas de principes actifs";"6 x 8 cm";;0.0000;;;0.0000;;0.0000;;true;false
"3420940";"01205";"1";"DAGA";"0003806";"17723-885";"Montelukast Sandoz (Impexeco) compr. pellic. 98x 10mg";0;"compr. pellic.";1;"montélukast";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"0309054";"01990";"1";"ONBA";"0014753";"8433-2253";"Duoderm E pansement Border 5x (14x14cm)";0;"pansement Border";1;"pas de principes actifs";"14 x 14 cm";;0.0000;;;0.0000;;0.0000;;true;false
"2159986";"01763";"1";"ADABC";"0000471";"27052-1636";"Torasemide Sandoz compr. (séc. en 4) 30x 20mg";0;"compr. (séc. en 4)";1;"torasémide";;;20.0000;"mg";;0.0000;;0.0000;;true;false
"2837789";"01862";"1";"JABA";"0007732";"30304-885";"Zolpidem Sandoz (Impexeco) compr. pellic. (séc.) 30x 10mg";0;"compr. pellic. (séc.)";1;"zolpidem hémitartrate";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"0868273";"00977";"1";"NADA";"0016832";"34728-265";"KCl B. Braun 14,9 % sol. perf. à diluer i.v. [amp., Mini-Plasco] 20x 2,98g/20ml";0;"sol. perf. à diluer i.v. [amp., Mini-Plasco]";1;"potassium chlorure";;;2.9800;"g";"/";20.0000;"ml";0.0000;;true;false
"3373594";"01314";"1";"CAABC";"0002576";"19851-1529";"Omeprazol Sandoz (PI-Pharma) gél. gastro-résist. 98x 20mg";0;"gél. gastro-résist.";1;"oméprazole";;;20.0000;"mg";;0.0000;;0.0000;;true;false
